deaths_0-5_circ,deaths_25+_circ,deaths_5-25_circ,Population_0-5,Population_25+,Population_5-25,STATEFP,COUNTYFP,mort_0-5_circ,mort_5-25_circ,mort_25+_circ,deaths_0-5_resp,deaths_25+_resp,deaths_5-25_resp,mort_0-5_resp,mort_5-25_resp,mort_25+_resp,deaths_0-5_all,deaths_25+_all,deaths_5-25_all,mort_0-5_all,mort_5-25_all,mort_25+_all,deaths_0-5_circ_est,deaths_25+_circ_est,deaths_5-25_circ_est,mort_0-5_circ_est,mort_5-25_circ_est,mort_25+_circ_est,deaths_0-5_resp_est,deaths_25+_resp_est,deaths_5-25_resp_est,mort_0-5_resp_est,mort_5-25_resp_est,mort_25+_resp_est,deaths_0-5_all_est,deaths_25+_all_est,deaths_5-25_all_est,mort_0-5_all_est,mort_5-25_all_est,mort_25+_all_est
,150.0,,2962.0,29659.0,11166.0,5,91,,,0.005057,,39.0,,,,0.001315,,503.0,,,,0.016959,,150.0,,,,0.005057,,39.0,,,,0.001315,,503.0,,,,0.016959
,147.0,,3094.0,27580.0,12161.0,5,93,,,0.00533,,17.0,,,,0.000616,,496.0,,,,0.017984,,147.0,,,,0.00533,,17.0,,,,0.000616,,496.0,,,,0.017984
,35.0,,451.0,5080.0,1638.0,5,95,,,0.00689,,,,,,,,133.0,,,,0.026181,,35.0,,,,0.00689,,,,,,,,133.0,,,,0.026181
,31.0,,388.0,6601.0,1890.0,5,97,,,0.004696,,,,,,,,144.0,,,,0.021815,,31.0,,,,0.004696,,,,,,,,144.0,,,,0.021815
,26.0,,476.0,5918.0,2004.0,5,99,,,0.004393,,,,,,,,113.0,,,,0.019094,,26.0,,,,0.004393,,,,,,,,113.0,,,,0.019094
,15.0,,362.0,5864.0,1710.0,5,101,,,0.002558,,,,,,,,65.0,,,,0.011085,,15.0,,,,0.002558,,,,,,,,65.0,,,,0.011085
,109.0,,1409.0,16907.0,5782.0,5,103,,,0.006447,,10.0,,,,0.000591,,327.0,,,,0.019341,,109.0,,,,0.006447,,10.0,,,,0.000591,,327.0,,,,0.019341
,26.0,,577.0,7130.0,2425.0,5,105,,,0.003647,,,,,,,,123.0,,,,0.017251,,26.0,,,,0.003647,,,,,,,,123.0,,,,0.017251
,45.0,,1393.0,12234.0,5348.0,5,107,,,0.003678,,,,,,,,245.0,,,,0.020026,,45.0,,,,0.003678,,,,,,,,245.0,,,,0.020026
,33.0,,581.0,7553.0,2698.0,5,109,,,0.004369,,,,,,,,100.0,,,,0.01324,,33.0,,,,0.004369,,,,,,,,100.0,,,,0.01324
