STATEFP,proportion_homeless_2019,COUNTYFP
12,0.001319,067
12,0.001319,069
12,0.001319,071
12,0.001319,073
12,0.001319,075
12,0.001319,077
12,0.001319,079
12,0.001319,081
12,0.001319,083
12,0.001319,085
12,0.001319,086
12,0.001319,087
12,0.001319,089
12,0.001319,091
12,0.001319,093
12,0.001319,095
12,0.001319,097
12,0.001319,099
12,0.001319,101
12,0.001319,103
12,0.001319,105
12,0.001319,107
12,0.001319,109
12,0.001319,111
12,0.001319,113
12,0.001319,115
12,0.001319,117
12,0.001319,119
12,0.001319,121
12,0.001319,123
12,0.001319,125
12,0.001319,127
12,0.001319,129
12,0.001319,131
12,0.001319,133
13,0.000984,001
13,0.000984,003
13,0.000984,005
13,0.000984,007
13,0.000984,009
13,0.000984,011
13,0.000984,013
13,0.000984,015
13,0.000984,017
13,0.000984,019
13,0.000984,021
13,0.000984,023
13,0.000984,025
13,0.000984,027
13,0.000984,029
13,0.000984,031
13,0.000984,033
13,0.000984,035
13,0.000984,037
13,0.000984,039
13,0.000984,043
13,0.000984,045
13,0.000984,047
13,0.000984,049
13,0.000984,051
13,0.000984,053
13,0.000984,055
13,0.000984,057
13,0.000984,059
13,0.000984,061
13,0.000984,063
13,0.000984,065
13,0.000984,067
13,0.000984,069
13,0.000984,071
13,0.000984,073
13,0.000984,075
13,0.000984,077
13,0.000984,079
13,0.000984,081
13,0.000984,083
13,0.000984,085
13,0.000984,087
13,0.000984,089
13,0.000984,091
13,0.000984,093
13,0.000984,095
13,0.000984,097
13,0.000984,099
13,0.000984,101
13,0.000984,103
13,0.000984,105
13,0.000984,107
13,0.000984,109
13,0.000984,111
13,0.000984,113
13,0.000984,115
13,0.000984,117
13,0.000984,119
13,0.000984,121
13,0.000984,123
13,0.000984,125
13,0.000984,127
13,0.000984,129
13,0.000984,131
13,0.000984,133
13,0.000984,135
13,0.000984,137
13,0.000984,139
13,0.000984,141
13,0.000984,143
13,0.000984,145
13,0.000984,147
13,0.000984,149
13,0.000984,151
13,0.000984,153
13,0.000984,155
13,0.000984,157
13,0.000984,159
13,0.000984,161
13,0.000984,163
13,0.000984,165
13,0.000984,167
13,0.000984,169
13,0.000984,171
13,0.000984,173
13,0.000984,175
13,0.000984,177
13,0.000984,179
13,0.000984,181
13,0.000984,183
13,0.000984,185
13,0.000984,187
13,0.000984,189
13,0.000984,191
13,0.000984,193
13,0.000984,195
13,0.000984,197
13,0.000984,199
13,0.000984,201
13,0.000984,205
13,0.000984,207
13,0.000984,209
13,0.000984,211
13,0.000984,213
13,0.000984,215
13,0.000984,217
13,0.000984,219
13,0.000984,221
13,0.000984,223
13,0.000984,225
13,0.000984,227
13,0.000984,229
13,0.000984,231
13,0.000984,233
13,0.000984,235
13,0.000984,237
13,0.000984,239
13,0.000984,241
13,0.000984,243
13,0.000984,245
13,0.000984,247
13,0.000984,249
13,0.000984,251
13,0.000984,253
13,0.000984,255
13,0.000984,257
13,0.000984,259
13,0.000984,261
13,0.000984,263
13,0.000984,265
13,0.000984,267
13,0.000984,269
13,0.000984,271
13,0.000984,273
13,0.000984,275
13,0.000984,277
13,0.000984,279
13,0.000984,281
13,0.000984,283
13,0.000984,285
13,0.000984,287
13,0.000984,289
13,0.000984,291
13,0.000984,293
13,0.000984,295
13,0.000984,297
13,0.000984,299
13,0.000984,301
13,0.000984,303
13,0.000984,305
13,0.000984,307
13,0.000984,309
13,0.000984,311
13,0.000984,313
13,0.000984,315
13,0.000984,317
13,0.000984,319
13,0.000984,321
15,0.004529,001
15,0.004529,003
15,0.004529,005
15,0.004529,007
15,0.004529,009
19,0.000734,001
19,0.000734,003
19,0.000734,005
19,0.000734,007
19,0.000734,009
19,0.000734,011
19,0.000734,013
19,0.000734,015
19,0.000734,017
19,0.000734,019
19,0.000734,021
19,0.000734,023
19,0.000734,025
19,0.000734,027
19,0.000734,029
19,0.000734,031
19,0.000734,033
19,0.000734,035
19,0.000734,037
19,0.000734,039
19,0.000734,041
19,0.000734,043
19,0.000734,045
19,0.000734,047
19,0.000734,049
19,0.000734,051
19,0.000734,053
19,0.000734,055
19,0.000734,057
19,0.000734,059
19,0.000734,061
19,0.000734,063
19,0.000734,065
19,0.000734,067
19,0.000734,069
19,0.000734,071
19,0.000734,073
19,0.000734,075
19,0.000734,077
19,0.000734,079
19,0.000734,081
19,0.000734,083
19,0.000734,085
19,0.000734,087
19,0.000734,089
19,0.000734,091
19,0.000734,093
19,0.000734,095
19,0.000734,097
19,0.000734,099
19,0.000734,101
19,0.000734,103
19,0.000734,105
19,0.000734,107
19,0.000734,109
19,0.000734,111
19,0.000734,113
19,0.000734,115
19,0.000734,117
19,0.000734,119
19,0.000734,121
19,0.000734,123
19,0.000734,125
19,0.000734,127
19,0.000734,129
19,0.000734,131
19,0.000734,133
19,0.000734,135
19,0.000734,137
19,0.000734,139
19,0.000734,141
19,0.000734,143
19,0.000734,145
19,0.000734,147
19,0.000734,149
19,0.000734,151
19,0.000734,153
19,0.000734,155
19,0.000734,157
19,0.000734,159
19,0.000734,161
19,0.000734,163
19,0.000734,165
19,0.000734,167
19,0.000734,169
19,0.000734,171
19,0.000734,173
19,0.000734,175
19,0.000734,177
19,0.000734,179
19,0.000734,181
19,0.000734,183
19,0.000734,185
19,0.000734,187
19,0.000734,189
19,0.000734,191
19,0.000734,193
19,0.000734,195
19,0.000734,197
16,0.001295,001
16,0.001295,003
16,0.001295,005
16,0.001295,007
16,0.001295,009
16,0.001295,011
16,0.001295,013
16,0.001295,015
16,0.001295,017
16,0.001295,019
16,0.001295,021
16,0.001295,023
16,0.001295,025
16,0.001295,027
16,0.001295,029
16,0.001295,031
16,0.001295,033
16,0.001295,035
16,0.001295,037
16,0.001295,039
16,0.001295,041
16,0.001295,043
16,0.001295,045
16,0.001295,047
16,0.001295,049
16,0.001295,051
16,0.001295,053
16,0.001295,055
16,0.001295,057
16,0.001295,059
16,0.001295,061
16,0.001295,063
16,0.001295,065
16,0.001295,067
16,0.001295,069
16,0.001295,071
16,0.001295,073
16,0.001295,075
16,0.001295,077
16,0.001295,079
16,0.001295,081
16,0.001295,083
16,0.001295,085
16,0.001295,087
17,0.000805,001
17,0.000805,003
17,0.000805,005
17,0.000805,007
17,0.000805,009
17,0.000805,011
17,0.000805,013
17,0.000805,015
17,0.000805,017
17,0.000805,019
17,0.000805,021
17,0.000805,023
17,0.000805,025
17,0.000805,027
17,0.000805,029
17,0.000805,031
17,0.000805,033
17,0.000805,035
17,0.000805,037
17,0.000805,039
17,0.000805,041
17,0.000805,043
17,0.000805,045
17,0.000805,047
17,0.000805,049
17,0.000805,051
17,0.000805,053
17,0.000805,055
17,0.000805,057
17,0.000805,059
17,0.000805,061
17,0.000805,063
17,0.000805,065
17,0.000805,067
17,0.000805,069
17,0.000805,071
17,0.000805,073
17,0.000805,075
17,0.000805,077
17,0.000805,079
17,0.000805,081
17,0.000805,083
17,0.000805,085
17,0.000805,087
17,0.000805,089
17,0.000805,091
17,0.000805,093
17,0.000805,095
17,0.000805,097
17,0.000805,099
17,0.000805,101
17,0.000805,103
17,0.000805,105
17,0.000805,107
17,0.000805,109
17,0.000805,111
17,0.000805,113
17,0.000805,115
17,0.000805,117
17,0.000805,119
17,0.000805,121
17,0.000805,123
17,0.000805,125
17,0.000805,127
17,0.000805,129
17,0.000805,131
17,0.000805,133
17,0.000805,135
17,0.000805,137
17,0.000805,139
17,0.000805,141
17,0.000805,143
17,0.000805,145
17,0.000805,147
17,0.000805,149
17,0.000805,151
17,0.000805,153
17,0.000805,155
17,0.000805,157
17,0.000805,159
17,0.000805,161
17,0.000805,163
17,0.000805,165
17,0.000805,167
17,0.000805,169
17,0.000805,171
17,0.000805,173
17,0.000805,175
17,0.000805,177
17,0.000805,179
17,0.000805,181
17,0.000805,183
17,0.000805,185
17,0.000805,187
17,0.000805,189
17,0.000805,191
17,0.000805,193
17,0.000805,195
17,0.000805,197
17,0.000805,199
17,0.000805,201
17,0.000805,203
18,0.000813,001
18,0.000813,003
18,0.000813,005
18,0.000813,007
18,0.000813,009
18,0.000813,011
18,0.000813,013
18,0.000813,015
18,0.000813,017
18,0.000813,019
18,0.000813,021
18,0.000813,023
18,0.000813,025
18,0.000813,027
18,0.000813,029
18,0.000813,031
18,0.000813,033
18,0.000813,035
18,0.000813,037
18,0.000813,039
18,0.000813,041
18,0.000813,043
18,0.000813,045
18,0.000813,047
18,0.000813,049
18,0.000813,051
18,0.000813,053
18,0.000813,055
18,0.000813,057
18,0.000813,059
18,0.000813,061
18,0.000813,063
18,0.000813,065
18,0.000813,067
18,0.000813,069
18,0.000813,071
18,0.000813,073
18,0.000813,075
18,0.000813,077
18,0.000813,079
18,0.000813,081
18,0.000813,083
18,0.000813,085
18,0.000813,087
18,0.000813,089
18,0.000813,091
18,0.000813,093
18,0.000813,095
18,0.000813,097
18,0.000813,099
18,0.000813,101
18,0.000813,103
18,0.000813,105
18,0.000813,107
18,0.000813,109
18,0.000813,111
18,0.000813,113
18,0.000813,115
18,0.000813,117
18,0.000813,119
18,0.000813,121
18,0.000813,123
18,0.000813,125
18,0.000813,127
18,0.000813,129
18,0.000813,131
18,0.000813,133
18,0.000813,135
18,0.000813,137
18,0.000813,139
18,0.000813,141
18,0.000813,143
18,0.000813,145
18,0.000813,147
18,0.000813,149
18,0.000813,151
18,0.000813,153
18,0.000813,155
18,0.000813,157
18,0.000813,159
18,0.000813,161
18,0.000813,163
18,0.000813,165
18,0.000813,167
18,0.000813,169
18,0.000813,171
18,0.000813,173
18,0.000813,175
18,0.000813,177
18,0.000813,179
18,0.000813,181
18,0.000813,183
20,0.000817,001
20,0.000817,003
20,0.000817,005
20,0.000817,007
20,0.000817,009
20,0.000817,011
20,0.000817,013
20,0.000817,015
20,0.000817,017
20,0.000817,019
20,0.000817,021
20,0.000817,023
20,0.000817,025
20,0.000817,027
20,0.000817,029
20,0.000817,031
20,0.000817,033
20,0.000817,035
20,0.000817,037
20,0.000817,039
20,0.000817,041
20,0.000817,043
20,0.000817,045
20,0.000817,047
20,0.000817,049
20,0.000817,051
20,0.000817,053
20,0.000817,055
20,0.000817,057
20,0.000817,059
20,0.000817,061
20,0.000817,063
20,0.000817,065
20,0.000817,067
20,0.000817,069
20,0.000817,071
20,0.000817,073
20,0.000817,075
20,0.000817,077
20,0.000817,079
20,0.000817,081
20,0.000817,083
20,0.000817,085
20,0.000817,087
20,0.000817,089
20,0.000817,091
20,0.000817,093
20,0.000817,095
20,0.000817,097
20,0.000817,099
20,0.000817,101
20,0.000817,103
20,0.000817,105
20,0.000817,107
20,0.000817,109
20,0.000817,111
20,0.000817,113
20,0.000817,115
20,0.000817,117
20,0.000817,119
20,0.000817,121
20,0.000817,123
20,0.000817,125
20,0.000817,127
20,0.000817,129
20,0.000817,131
20,0.000817,133
20,0.000817,135
20,0.000817,137
20,0.000817,139
20,0.000817,141
20,0.000817,143
20,0.000817,145
20,0.000817,147
20,0.000817,149
20,0.000817,151
20,0.000817,153
20,0.000817,155
20,0.000817,157
20,0.000817,159
20,0.000817,161
20,0.000817,163
20,0.000817,165
20,0.000817,167
20,0.000817,169
20,0.000817,171
20,0.000817,173
20,0.000817,175
20,0.000817,177
20,0.000817,179
20,0.000817,181
20,0.000817,183
20,0.000817,185
20,0.000817,187
20,0.000817,189
20,0.000817,191
20,0.000817,193
20,0.000817,195
20,0.000817,197
20,0.000817,199
20,0.000817,201
20,0.000817,203
20,0.000817,205
20,0.000817,207
20,0.000817,209
21,0.000913,001
21,0.000913,003
21,0.000913,005
21,0.000913,007
21,0.000913,009
21,0.000913,011
21,0.000913,013
21,0.000913,015
21,0.000913,017
21,0.000913,019
21,0.000913,021
21,0.000913,023
21,0.000913,025
21,0.000913,027
21,0.000913,029
21,0.000913,031
21,0.000913,033
21,0.000913,035
21,0.000913,037
21,0.000913,039
21,0.000913,041
21,0.000913,043
21,0.000913,045
21,0.000913,047
21,0.000913,049
21,0.000913,051
21,0.000913,053
