,AllIndustries,AgricultureForestryFishingAndHunting,MiningQuarryingAndOilAndGasExtraction,Construction,HealthCareAndSocialAssistance,STATEFP,COUNTYFP
2257,77182,0.87,0.4,3.92,12.08,42,027
2258,273363,2.32,0.13,5.45,12.57,42,029
2259,17377,1.78,1.39,7.67,18.96,42,031
2260,34016,1.16,2.3,7.26,18.79,42,033
2261,17883,1.27,1.09,7.28,14.15,42,035
2262,30394,1.26,0.25,5.84,19.37,42,037
2263,38398,2.4,0.7,6.74,16.78,42,039
2264,127941,0.83,0.17,5.02,13.58,42,041
2265,138855,1.31,0.16,4.01,17.7,42,043
2266,279607,0.27,0.05,5.0,18.45,42,045
2267,15374,0.79,0.68,4.61,13.76,42,047
2268,126569,0.69,0.28,4.95,18.51,42,049
2269,54869,0.56,3.06,7.72,18.49,42,051
2270,989,2.53,0.51,7.38,21.13,42,053
2271,74289,2.59,0.23,6.01,14.64,42,055
2272,6721,3.07,0.85,10.65,13.72,42,057
2273,14424,0.46,9.06,8.69,18.35,42,059
2274,18615,2.87,0.5,10.0,15.5,42,061
2275,37420,1.67,2.98,7.34,16.04,42,063
2276,19674,1.39,3.19,7.5,17.81,42,065
2277,11270,4.61,0.34,9.65,11.25,42,067
2278,99414,0.3,0.23,5.78,16.86,42,069
2279,272111,2.48,0.14,8.22,14.58,42,071
2280,39582,1.3,0.42,6.96,17.5,42,073
2281,68411,2.02,0.18,5.53,16.82,42,075
2282,178697,0.5,0.08,4.73,15.97,42,077
2283,151788,0.5,0.2,5.37,16.11,42,079
2284,53135,1.12,1.41,6.69,16.93,42,081
2285,18207,1.78,2.86,5.37,19.94,42,083
2286,49378,1.14,0.5,5.05,19.34,42,085
2287,21379,2.45,0.36,7.11,17.44,42,087
2288,80347,0.49,0.25,6.22,13.41,42,089
2289,434317,0.21,0.05,5.48,15.06,42,091
2290,8731,1.53,0.24,5.21,33.68,42,093
2291,150437,0.58,0.13,5.7,16.3,42,095
2292,41607,1.36,0.94,5.23,22.39,42,097
2293,22622,2.85,0.0,11.37,12.29,42,099
2294,702105,0.18,0.08,4.18,20.48,42,101
2295,25191,0.53,0.45,7.53,12.35,42,103
2296,6654,4.4,1.92,7.62,15.42,42,105
2297,62570,1.19,0.99,6.69,17.09,42,107
2298,20143,2.89,0.36,8.19,14.81,42,109
2299,32230,2.33,2.17,7.91,15.75,42,111
2300,2718,6.33,1.88,10.78,16.34,42,113
2301,18046,2.68,3.5,8.62,14.46,42,115
2302,17977,3.48,2.66,7.35,15.29,42,117
2303,17908,1.88,0.11,6.27,17.42,42,119
2304,22682,0.9,0.8,6.09,17.07,42,121
2305,18266,1.91,0.97,4.7,18.85,42,123
2306,99980,0.8,2.71,7.94,15.33,42,125
2307,21111,1.48,0.81,10.15,14.9,42,127
2308,172201,0.35,0.57,6.02,16.82,42,129
2309,12835,1.57,1.83,7.71,12.36,42,131
2310,224825,0.74,0.11,6.89,14.85,42,133
2311,25125,0.29,0.0,4.3,17.84,44,001
2312,88514,0.29,0.02,6.0,15.97,44,003
2313,41244,0.95,0.06,6.83,15.39,44,005
2314,314000,0.28,0.03,5.16,16.45,44,007
2315,64995,1.01,0.02,6.08,14.84,44,009
2316,10104,1.71,0.0,8.92,11.98,45,001
2317,71279,1.07,0.3,7.46,12.85,45,003
2318,2890,7.06,0.0,3.74,8.65,45,005
2319,91058,0.5,0.07,6.11,14.68,45,007
2320,5354,3.18,0.0,3.57,16.19,45,009
2321,8004,2.97,0.17,4.77,14.29,45,011
2322,76980,0.84,0.03,8.75,12.21,45,013
2323,100320,0.45,0.03,8.44,11.44,45,015
2324,6250,2.74,0.0,9.22,17.49,45,017
2325,204353,0.4,0.05,7.43,13.76,45,019
2326,23119,0.42,0.27,5.51,10.56,45,021
2327,13196,1.54,0.28,5.98,11.66,45,023
2328,19346,3.72,0.29,6.0,11.44,45,025
2329,11923,3.24,0.03,8.4,14.9,45,027
2330,15900,2.41,0.12,11.87,15.41,45,029
2331,26910,1.14,0.04,4.75,15.26,45,031
2332,11808,4.16,0.01,3.66,13.35,45,033
2333,74909,0.32,0.11,6.99,12.61,45,035
2334,10602,6.27,0.0,7.78,13.04,45,037
2335,9037,0.84,0.0,6.75,11.17,45,039
2336,60708,1.16,0.0,5.03,17.78,45,041
2337,25080,2.26,0.11,7.81,14.83,45,043
2338,247829,0.47,0.06,6.39,12.58,45,045
2339,30493,1.34,0.04,4.46,16.64,45,047
2340,7470,3.8,0.0,7.6,10.76,45,049
2341,147486,0.55,0.03,9.58,10.33,45,051
2342,12309,2.15,0.0,12.97,12.1,45,053
2343,28257,1.32,0.62,7.41,12.36,45,055
2344,38913,0.58,0.44,7.09,10.98,45,057
2345,28437,0.98,0.06,5.86,12.2,45,059
2346,5940,4.41,0.37,3.72,16.11,45,061
2347,140808,0.66,0.15,8.61,12.86,45,063
2348,2803,1.43,0.0,7.71,17.98,45,065
2349,11558,5.14,0.0,4.0,13.79,45,067
2350,9161,1.72,0.0,3.1,15.06,45,069
2351,16841,2.96,0.08,5.8,11.42,45,071
2352,32106,0.86,0.01,9.42,10.43,45,073
2353,35030,2.17,0.11,5.87,13.74,45,075
2354,56013,0.53,0.04,7.91,11.92,45,077
2355,195730,0.21,0.06,4.38,13.1,45,079
2356,8392,7.72,0.0,7.03,11.93,45,081
2357,141860,0.51,0.02,5.68,12.71,45,083
2358,43151,1.58,0.0,6.19,13.89,45,085
2359,11760,0.93,0.0,5.9,11.89,45,087
2360,11453,2.51,0.0,6.82,12.76,45,089
2361,132601,0.4,0.1,5.42,11.14,45,091
2362,1495,23.55,0.0,6.22,13.18,46,003
2363,9028,9.07,0.07,5.35,13.19,46,005
2364,1184,13.68,0.0,6.5,13.94,46,007
2365,2832,13.88,0.14,6.64,15.11,46,009
2366,19445,5.61,0.24,4.99,10.48,46,011
2367,20929,4.23,0.06,6.3,16.99,46,013
2368,2914,14.07,0.34,6.04,16.13,46,015
2369,601,12.48,0.0,5.16,10.65,46,017
2370,4919,8.17,7.95,6.32,11.89,46,019
2371,753,29.61,0.13,8.76,11.02,46,021
2372,3901,14.87,0.1,6.69,12.54,46,023
2373,1716,25.7,0.06,8.39,13.93,46,025
2374,7840,3.52,0.19,3.79,14.08,46,027
2375,15388,5.71,0.06,5.99,11.92,46,029
2376,1301,30.44,0.0,8.46,9.99,46,031
2377,3997,5.45,1.8,12.16,14.99,46,033
2378,10678,5.03,0.12,9.13,14.54,46,035
2379,2611,15.09,0.0,7.28,11.18,46,037
2380,2331,15.92,0.13,9.57,12.4,46,039
2381,2081,12.06,0.0,7.88,13.55,46,041
2382,1400,18.07,0.29,7.14,15.0,46,043
2383,1934,22.65,0.0,5.43,15.51,46,045
2384,2898,7.25,0.48,5.52,28.12,46,047
2385,1080,25.74,0.0,7.96,19.17,46,049
2386,3555,10.04,0.62,7.59,15.33,46,051
2387,1980,15.15,0.1,6.36,17.17,46,053
2388,898,19.93,0.0,9.47,15.7,46,055
2389,2827,13.19,0.32,11.07,12.06,46,057
2390,1763,24.5,0.0,7.09,12.42,46,059
2391,1623,11.21,0.31,8.38,10.78,46,061
2392,693,44.01,5.05,12.41,3.61,46,063
2393,9334,4.68,0.29,6.06,11.84,46,065
2394,3654,14.23,0.0,4.71,17.87,46,067
2395,671,29.81,0.0,2.98,8.64,46,069
2396,1004,19.32,0.0,3.39,13.15,46,071
2397,950,20.53,0.0,5.26,11.16,46,073
2398,418,27.27,0.0,9.57,3.59,46,075
2399,2686,17.83,0.0,8.97,8.9,46,077
2400,6684,6.78,0.0,5.03,11.45,46,079
2401,13484,3.55,2.69,9.08,13.99,46,081
2402,30895,2.38,0.15,7.47,22.25,46,083
2403,1700,21.76,0.0,6.65,8.94,46,085
2404,2859,14.24,0.24,6.51,18.22,46,087
2405,1075,20.93,0.0,12.47,17.3,46,089
2406,2478,15.98,0.08,8.64,13.03,46,091
2407,14292,6.45,1.36,12.08,14.54,46,093
2408,539,13.54,0.0,9.28,12.62,46,095
2409,1128,16.49,0.0,7.18,15.16,46,097
2410,105355,1.0,0.11,7.33,18.39,46,099
2411,3249,12.9,0.09,6.99,12.37,46,101
2412,3576,3.41,0.34,3.16,13.28,46,102
2413,54324,1.85,0.55,7.39,15.74,46,103
2414,1603,28.88,0.87,6.49,10.36,46,105
2415,1131,21.66,0.18,6.63,11.49,46,107
2416,4661,10.28,0.13,7.08,13.15,46,109
2417,1320,19.02,0.3,4.39,13.41,46,111
2418,3221,19.16,0.06,5.34,16.36,46,115
2419,1739,12.59,0.35,8.34,16.33,46,117
2420,657,28.46,0.3,7.61,8.98,46,119
2421,2433,7.11,0.0,2.06,13.77,46,121
2422,2806,20.14,0.0,8.48,14.4,46,123
2423,4261,7.56,0.05,9.95,18.89,46,125
2424,7958,3.51,0.62,6.28,14.94,46,127
2425,2744,14.18,1.46,5.9,18.77,46,129
2426,11449,4.6,0.24,4.73,18.94,46,135
2427,958,28.81,0.0,2.92,10.86,46,137
2428,32611,0.17,0.23,6.83,14.08,47,001
2429,22010,2.63,0.45,7.23,9.99,47,003
2430,5891,0.85,1.0,6.99,12.14,47,005
2431,5417,11.33,0.39,8.79,9.84,47,007
2432,60847,0.65,0.17,6.67,14.42,47,009
2433,49160,0.65,0.03,6.7,11.16,47,011
2434,15458,0.73,1.13,11.21,16.28,47,013
2435,6440,3.93,0.06,7.41,13.8,47,015
2436,11173,2.09,0.16,7.47,12.77,47,017
2437,23117,1.03,0.36,7.15,19.92,47,019
2438,20022,0.87,0.17,12.13,13.21,47,021
2439,6886,2.21,0.39,7.09,14.25,47,023
2440,12091,1.86,1.92,8.2,17.23,47,025
2441,2670,2.13,1.12,6.85,17.23,47,027
2442,13907,0.81,0.14,4.77,12.55,47,029
2443,24880,1.65,0.31,7.06,9.04,47,031
2444,6102,4.69,0.08,7.19,17.86,47,033
2445,21750,2.89,0.77,7.61,13.66,47,035
2446,380627,0.17,0.01,6.17,14.7,47,037
2447,4409,1.81,1.7,6.67,15.58,47,039
2448,8013,3.16,0.04,7.21,10.96,47,041
2449,23532,0.91,0.15,10.15,15.35,47,043
2450,16273,0.85,0.23,6.2,13.74,47,045
2451,17626,1.93,0.0,7.97,13.25,47,047
2452,7033,5.6,0.78,9.33,19.62,47,049
2453,18283,1.94,0.2,6.15,11.23,47,051
2454,20127,1.38,0.04,6.64,15.18,47,053
2455,12680,3.03,0.29,6.69,12.97,47,055
2456,9889,1.87,1.21,10.84,11.95,47,057
2457,28541,1.4,0.26,5.23,16.7,47,059
2458,5034,6.32,0.06,8.86,10.33,47,061
2459,26376,0.3,0.36,5.5,12.61,47,063
2460,173657,0.22,0.04,5.44,14.43,47,065
2461,2195,3.83,0.0,6.88,16.45,47,067
2462,8055,1.9,0.02,4.82,15.2,47,069
2463,9750,2.46,0.07,8.32,13.21,47,071
2464,22268,0.81,0.13,7.19,15.99,47,073
2465,7328,2.1,0.0,4.34,11.95,47,075
2466,11272,1.67,0.12,6.83,15.83,47,077
2467,12623,2.34,0.42,6.91,13.71,47,079
2468,10001,2.53,0.43,10.96,12.55,47,081
2469,3095,1.52,0.0,9.18,12.28,47,083
2470,7396,1.96,0.0,9.22,10.99,47,085
2471,4315,1.85,0.63,10.48,14.21,47,087
2472,23719,1.16,1.25,6.1,11.16,47,089
2473,5707,3.45,0.07,11.83,10.11,47,091
2474,232086,0.36,0.16,5.83,14.39,47,093
2475,1812,4.75,0.0,5.3,9.93,47,095
2476,9172,3.21,0.0,5.26,11.37,47,097
2477,16807,2.52,0.09,7.49,15.61,47,099
2478,4920,1.71,0.0,7.03,18.68,47,101
2479,15088,3.08,0.0,7.58,10.91,47,103
2480,21396,2.24,0.0,9.28,11.73,47,105
2481,21334,1.64,0.15,6.18,11.03,47,107
2482,9425,2.19,0.25,5.27,14.15,47,109
2483,10601,2.38,0.42,8.07,10.5,47,111
2484,43691,0.54,0.01,4.53,19.97,47,113
2485,12424,0.65,0.03,9.88,14.44,47,115
2486,14927,1.17,0.14,9.04,10.14,47,117
2487,44397,0.44,0.12,7.94,16.43,47,119
2488,4517,2.06,0.53,8.28,9.85,47,121
2489,17730,1.45,0.13,7.97,12.9,47,123
2490,82421,0.43,0.15,6.97,12.82,47,125
2491,2777,2.02,0.0,5.44,11.81,47,127
2492,7370,2.24,0.24,10.12,13.89,47,129
2493,12851,2.99,0.06,6.54,12.43,47,131
2494,9336,3.19,0.28,7.9,17.33,47,133
2495,2765,3.51,0.0,6.37,19.86,47,135
2496,1901,7.73,0.05,8.84,11.42,47,137
2497,7188,3.01,0.71,9.71,11.51,47,139
2498,34503,0.52,0.26,5.41,14.79,47,141
2499,13076,1.55,0.06,7.98,10.35,47,143
2500,22195,0.2,0.52,6.63,13.3,47,145
2501,33928,1.92,0.21,10.28,12.43,47,147
2502,168044,0.42,0.07,6.55,12.91,47,149
2503,8163,1.0,0.8,10.13,16.23,47,151
2504,6117,1.8,0.8,13.47,11.66,47,153
2505,46934,0.27,0.4,7.78,8.44,47,155
2506,435649,0.19,0.02,4.68,13.95,47,157
2507,9136,1.06,0.96,9.58,12.43,47,159
2508,5341,1.7,0.37,11.14,12.19,47,161
2509,66728,0.66,0.26,7.56,16.05,47,163
2510,92522,0.51,0.05,6.62,14.1,47,165
2511,27600,1.11,0.0,9.37,13.83,47,167
2512,4605,0.37,0.59,8.73,11.47,47,169
2513,7447,1.52,0.0,10.62,16.13,47,171
2514,7346,0.53,1.23,13.35,14.38,47,173
2515,2134,5.76,0.0,5.62,16.17,47,175
2516,17231,5.23,0.05,7.71,10.69,47,177
2517,60301,0.69,0.15,4.78,19.57,47,179
2518,5756,4.76,0.49,6.29,19.32,47,181
2519,14319,2.73,0.66,4.76,13.95,47,183
2520,10438,2.29,0.11,5.95,12.08,47,185
2521,114816,0.53,0.04,5.39,16.35,47,187
2522,68351,0.37,0.14,7.22,12.48,47,189
2523,19213,1.87,6.25,6.72,12.47,48,001
2524,8167,2.01,24.05,6.47,9.43,48,003
2525,36525,1.85,1.83,7.3,17.74,48,005
2526,9814,0.71,2.77,12.12,11.3,48,007
2527,4438,5.97,3.56,8.31,18.32,48,009
2528,888,9.91,0.45,13.4,14.08,48,011
2529,19876,2.34,6.6,11.76,10.93,48,013
2530,13498,1.63,3.44,10.84,10.15,48,015
2531,3305,15.37,4.48,5.17,3.9,48,017
2532,9475,6.35,1.17,11.93,13.42,48,019
2533,36296,1.58,1.15,14.73,10.41,48,021
2534,1540,4.94,4.48,4.68,26.56,48,023
2535,10038,0.96,7.45,4.45,9.55,48,025
2536,141131,0.39,0.46,7.41,16.95,48,027
2537,907686,0.2,0.93,8.0,13.78,48,029
2538,5488,6.29,1.09,13.7,9.35,48,031
2539,231,21.21,6.93,16.02,8.23,48,033
2540,7711,3.19,1.95,11.81,13.28,48,035
2541,37008,1.15,0.96,5.16,18.21,48,037
2542,169376,0.37,1.47,11.06,14.31,48,039
2543,106349,0.97,1.45,6.8,10.83,48,041
2544,4495,4.05,0.56,5.72,8.59,48,043
2545,600,21.5,0.17,8.5,8.0,48,045
2546,2569,5.92,5.25,2.45,19.81,48,047
2547,16369,3.32,2.26,6.82,15.33,48,049
2548,7823,4.63,6.66,10.58,8.39,48,051
2549,21041,1.92,1.18,14.93,9.63,48,053
2550,18566,1.37,2.56,16.49,10.54,48,055
2551,9625,3.37,1.89,12.22,8.97,48,057
2552,5851,4.48,3.59,10.41,12.08,48,059
2553,161127,1.12,0.88,7.6,18.8,48,061
2554,5306,1.66,1.66,10.44,7.93,48,063
2555,2932,8.66,3.17,11.46,8.87,48,065
2556,11412,1.72,1.67,8.41,17.17,48,067
2557,3466,21.49,0.14,4.15,10.04,48,069
2558,18917,1.31,1.79,11.12,8.26,48,071
2559,20251,3.46,3.22,10.08,17.26,48,073
2560,2853,6.73,1.44,9.43,20.68,48,075
2561,4419,5.57,3.46,6.43,14.14,48,077
2562,1208,23.84,7.86,6.21,7.7,48,079
2563,1448,3.66,4.49,6.98,10.5,48,081
2564,3542,5.67,2.85,5.56,13.38,48,083
2565,509180,0.2,0.65,5.11,11.04,48,085
2566,1311,16.48,0.31,6.94,23.11,48,087
2567,9553,6.18,3.1,8.68,11.39,48,089
2568,66229,0.22,1.55,10.52,11.42,48,091
2569,5975,8.49,1.37,8.2,13.21,48,093
2570,905,10.5,4.97,9.06,9.83,48,095
2571,19303,4.81,3.26,6.12,9.72,48,097
2572,24032,0.95,0.27,7.42,11.62,48,099
2573,670,15.67,5.37,5.07,22.39,48,101
2574,2144,0.0,30.32,9.47,12.78,48,103
2575,1738,9.9,18.24,18.47,6.33,48,105
2576,2489,11.77,0.76,9.6,11.65,48,107
2577,1006,8.05,6.16,6.66,9.74,48,109
2578,3700,21.32,0.16,6.65,4.0,48,111
2579,1305009,0.19,0.51,10.52,10.81,48,113
2580,4489,7.4,7.28,6.68,11.58,48,115
2581,8450,13.57,0.41,7.66,6.63,48,117
2582,2188,5.62,0.32,7.4,13.21,48,119
2583,453391,0.25,0.67,5.39,10.69,48,121
2584,7710,3.26,13.36,9.92,10.34,48,123
2585,769,8.84,0.91,7.28,6.5,48,125
2586,3330,4.8,14.17,5.86,8.68,48,127
2587,1496,17.18,0.53,8.82,8.56,48,129
2588,4314,6.12,17.87,7.0,24.08,48,131
2589,7031,3.95,4.11,7.57,15.92,48,133
2590,74960,0.11,15.11,9.2,8.44,48,135
2591,868,18.55,0.0,13.71,10.48,48,137
2592,85372,0.57,0.73,9.18,11.02,48,139
2593,352290,0.32,0.76,6.33,13.62,48,141
2594,20076,5.05,2.35,5.66,10.7,48,143
2595,5997,7.19,1.7,5.9,13.46,48,145
2596,13998,2.69,2.09,9.12,15.0,48,147
2597,11263,3.6,3.69,9.94,11.8,48,149
2598,1709,9.3,3.45,7.26,14.86,48,151
2599,2499,17.93,0.84,5.08,14.05,48,153
2600,570,12.28,1.75,13.68,16.14,48,155
2601,367035,0.35,4.76,5.95,14.49,48,157
2602,4798,5.0,1.73,6.79,13.26,48,159
2603,7036,4.46,8.06,8.29,11.34,48,161
2604,6634,9.57,5.37,8.67,9.8,48,163
2605,8228,7.79,10.9,19.51,6.44,48,165
2606,157014,0.55,1.68,7.96,14.84,48,167
2607,1940,1.86,8.25,7.78,13.81,48,169
2608,12087,4.86,1.27,11.34,12.68,48,171
2609,738,37.13,13.69,4.88,4.88,48,173
2610,3104,3.16,8.54,8.38,11.47,48,175
2611,8813,6.9,5.0,8.37,9.23,48,177
2612,9016,2.89,9.21,12.0,13.66,48,179
2613,60989,0.61,1.0,9.11,13.09,48,181
2614,55110,0.22,4.78,6.53,14.17,48,183
2615,10670,4.28,3.9,9.2,8.63,48,185
2616,74834,0.39,1.52,6.75,12.03,48,187
2617,14355,7.82,0.72,7.41,10.72,48,189
2618,1239,20.66,1.29,8.07,7.26,48,191
2619,3409,11.73,0.7,10.0,14.26,48,193
2620,2374,27.84,4.34,4.42,11.04,48,195
2621,1701,10.41,4.35,4.82,18.17,48,197
2622,24076,0.36,2.4,11.46,10.94,48,199
2623,2248663,0.17,3.07,10.31,10.52,48,201
2624,27934,1.21,5.35,7.04,14.47,48,203
2625,2010,20.6,0.1,3.58,15.77,48,205
2626,2213,10.66,4.38,12.65,10.26,48,207
2627,109808,0.31,0.74,9.18,11.08,48,209
2628,1842,7.22,18.13,5.86,8.69,48,211
2629,32219,2.19,2.69,11.22,11.83,48,213
2630,328097,1.58,1.54,8.41,15.83,48,215
2631,15427,4.09,2.33,9.53,10.36,48,217
2632,10174,5.04,11.67,7.12,12.29,48,219
2633,24812,1.43,3.19,9.96,12.93,48,221
2634,16402,3.98,0.98,7.58,12.39,48,223
2635,8227,7.75,2.22,6.43,15.94,48,225
2636,14303,1.85,11.28,7.69,16.88,48,227
2637,1162,17.38,1.29,5.94,15.06,48,229
2638,41358,1.13,0.52,9.94,11.58,48,231
2639,8780,1.67,5.22,12.08,5.96,48,233
2640,664,4.07,22.44,8.13,2.11,48,235
2641,3172,5.33,12.07,8.61,7.31,48,237
2642,6602,4.53,8.54,11.39,11.89,48,239
2643,13464,1.02,3.09,13.48,15.25,48,241
2644,763,22.41,1.7,7.21,10.88,48,243
2645,106092,0.52,0.82,12.72,13.4,48,245
2646,1940,3.25,12.01,9.64,21.8,48,247
2647,16016,2.67,12.97,9.08,13.73,48,249
2648,77938,0.6,1.66,8.38,11.76,48,251
2649,4994,3.1,5.57,6.25,18.94,48,253
2650,5275,2.41,8.68,10.14,8.97,48,255
2651,58675,0.66,0.94,9.45,12.45,48,257
2652,20605,0.83,2.35,8.54,11.46,48,259
2653,211,44.08,0.0,7.11,7.11,48,261
2654,263,5.7,1.9,8.75,8.75,48,263
2655,22320,1.62,1.55,11.42,15.14,48,265
2656,2051,10.53,1.8,12.48,11.26,48,267
2657,113,44.25,5.31,9.73,6.19,48,269
2658,1202,1.41,1.91,11.06,15.89,48,271
2659,12854,3.29,5.2,6.99,10.95,48,273
2660,1491,14.89,9.73,8.32,10.4,48,275
2661,21502,2.94,0.51,7.81,15.5,48,277
2662,5591,14.29,2.13,6.51,12.45,48,279
2663,8951,1.53,2.71,8.49,12.99,48,281
2664,2684,11.85,12.11,4.47,12.18,48,283
2665,9119,4.73,5.33,7.24,11.71,48,285
2666,8153,2.24,4.83,13.98,10.92,48,287
2667,6262,3.77,5.43,12.97,8.59,48,289
2668,30771,1.87,2.36,16.08,7.76,48,291
2669,9101,4.19,6.71,9.93,15.34,48,293
2670,1611,8.63,14.9,8.81,8.75,48,295
2671,4504,3.71,10.06,11.06,4.53,48,297
2672,7682,2.27,2.19,15.22,12.78,48,299
2673,33,12.12,27.27,0.0,0.0,48,301
2674,149699,1.14,1.37,6.59,14.93,48,303
2675,2398,12.09,2.29,6.92,14.43,48,305
2676,3702,3.4,13.13,5.62,10.72,48,307
2677,114524,0.72,0.39,7.68,13.13,48,309
2678,310,16.45,8.39,6.45,4.84,48,311
2679,4882,10.57,3.83,8.68,10.39,48,313
2680,3715,2.1,2.61,9.39,14.59,48,315
2681,2483,16.19,7.85,6.85,10.63,48,317
2682,2026,19.2,5.23,6.56,13.87,48,319
2683,15607,4.15,2.2,12.02,9.74,48,321
2684,21733,0.82,6.54,6.9,15.38,48,323
2685,21668,2.67,5.51,9.6,13.85,48,325
2686,1058,8.32,0.66,31.1,10.4,48,327
2687,85206,0.37,18.73,7.13,9.83,48,329
2688,9788,5.11,5.37,9.91,10.39,48,331
2689,1939,5.98,0.88,9.03,14.23,48,333
2690,2795,4.87,12.92,13.06,14.53,48,335
2691,8132,3.2,9.74,6.59,13.61,48,337
2692,272189,0.39,4.9,9.29,9.64,48,339
2693,9903,7.49,2.03,6.58,5.27,48,341
2694,4992,1.64,1.74,6.57,17.01,48,343
2695,574,24.91,0.0,12.37,8.54,48,345
2696,27834,2.37,2.0,8.17,14.6,48,347
2697,21085,2.49,1.29,9.46,11.58,48,349
2698,5156,5.22,4.07,8.18,12.99,48,351
2699,6279,3.9,2.8,7.15,13.12,48,353
2700,165051,0.57,2.02,10.38,13.65,48,355
2701,4645,5.92,15.13,10.89,4.78,48,357
2702,941,9.14,1.59,6.48,17.64,48,359
2703,37674,0.23,1.04,10.38,12.62,48,361
2704,11763,2.42,4.23,10.76,10.88,48,363
2705,9547,2.23,16.78,5.97,13.09,48,365
2706,62395,2.51,2.19,10.17,11.73,48,367
2707,4374,18.63,0.27,6.56,8.28,48,369
2708,6122,4.25,11.61,8.92,7.2,48,371
2709,18869,2.06,2.91,14.07,10.16,48,373
2710,51766,0.66,0.89,9.55,12.83,48,375
2711,2460,22.52,1.18,9.02,7.03,48,377
2712,5002,1.32,2.18,15.31,11.42,48,379
2713,70231,1.41,1.02,7.28,15.02,48,381
2714,1669,2.64,45.42,2.28,4.73,48,383
2715,1125,8.44,2.49,12.36,12.36,48,385
2716,5012,3.89,2.27,7.26,16.3,48,387
2717,5913,1.91,18.23,5.24,13.7,48,389
2718,2770,2.74,8.74,11.12,8.16,48,391
2719,357,13.45,3.08,12.89,9.24,48,393
2720,7385,6.78,3.22,9.32,8.86,48,395
2721,48291,0.34,0.81,8.24,12.6,48,397
2722,4438,7.28,4.87,8.29,11.78,48,399
2723,21176,1.34,10.94,7.16,12.07,48,401
2724,3122,1.89,2.08,8.58,14.41,48,403
2725,2799,2.86,3.11,7.29,20.72,48,405
2726,10300,2.72,3.11,17.89,6.92,48,407
2727,28539,1.43,4.3,13.84,13.44,48,409
2728,2538,18.4,2.88,13.44,9.61,48,411
2729,1327,9.04,13.94,7.01,9.57,48,413
2730,6880,2.01,17.01,10.6,7.22,48,415
2731,1504,8.05,12.1,6.65,5.65,48,417
2732,9650,7.25,5.25,11.34,11.07,48,419
2733,1563,25.66,4.41,9.6,4.16,48,421
2734,101856,0.62,2.6,7.46,18.17,48,423
2735,3667,2.95,6.52,10.64,15.35,48,425
2736,22056,2.2,4.11,10.25,25.32,48,427
2737,3725,5.69,9.56,9.34,8.35,48,429
2738,631,3.65,23.45,6.5,15.06,48,431
2739,633,7.58,14.06,6.48,18.17,48,433
2740,1752,5.25,21.46,8.68,5.65,48,435
2741,2783,16.85,0.43,5.35,10.78,48,437
2742,1017012,0.17,0.95,7.56,11.4,48,439
2743,63441,0.75,1.54,6.63,18.29,48,441
2744,357,9.24,0.0,8.12,2.8,48,443
2745,4849,12.44,9.88,8.58,12.11,48,445
2746,684,17.25,8.48,4.24,17.69,48,447
2747,14466,1.94,1.51,5.99,10.51,48,449
2748,54481,1.53,4.9,8.47,15.55,48,451
2749,688232,0.27,0.48,7.56,9.66,48,453
2750,5117,3.48,4.03,12.39,13.13,48,455
2751,6600,6.59,3.23,8.35,10.3,48,457
2752,17221,1.09,3.92,9.35,13.79,48,459
2753,1428,2.03,29.06,9.73,13.45,48,461
2754,11188,5.39,4.21,11.57,9.86,48,463
2755,19297,1.07,3.22,7.42,10.91,48,465
2756,22235,3.26,4.04,9.47,13.56,48,467
2757,42129,0.88,4.13,7.59,16.1,48,469
2758,26268,1.29,1.24,5.72,9.57,48,471
2759,23441,1.5,3.55,9.94,9.61,48,473
2760,4946,1.35,18.68,11.1,7.99,48,475
2761,15501,2.95,1.68,10.45,11.64,48,477
2762,109409,0.29,2.85,6.27,11.81,48,479
2763,18127,6.32,4.78,9.53,13.38,48,481
2764,2482,7.98,9.71,7.25,10.31,48,483
2765,55764,0.9,2.28,6.68,15.51,48,485
2766,6153,5.74,2.06,3.84,23.65,48,487
2767,7639,9.84,2.24,7.3,18.01,48,489
2768,279178,0.2,0.51,6.95,11.85,48,491
2769,21799,1.55,4.1,12.15,10.44,48,493
2770,3346,1.67,21.25,6.72,7.86,48,495
2771,30152,0.99,6.52,8.15,11.39,48,497
2772,16364,2.26,2.55,9.1,12.06,48,499
2773,3617,9.26,21.62,7.46,6.58,48,501
2774,8038,3.37,10.3,10.21,12.76,48,503
2775,5220,4.27,15.79,11.0,12.74,48,505
2776,4285,5.23,5.3,6.23,24.32,48,507
2777,2714,24.28,1.73,5.53,6.34,49,001
2778,23918,2.9,0.39,7.73,9.34,49,003
2779,60820,2.16,0.42,5.45,9.52,49,005
2780,8679,0.91,7.57,9.1,11.87,49,007
2781,307,8.79,4.23,0.98,0.98,49,009
2782,164139,0.35,0.39,6.18,12.07,49,011
2783,8129,4.22,14.37,8.67,10.9,49,013
2784,4040,3.42,6.49,10.35,11.39,49,015
2785,2184,4.9,0.82,5.68,9.48,49,017
2786,5208,3.09,2.78,5.97,6.16,49,019
2787,22635,2.0,0.52,8.95,12.41,49,021
2788,5044,3.47,0.91,11.56,12.61,49,023
2789,3275,2.47,1.68,4.37,8.98,49,025
2790,5449,13.21,1.71,5.69,9.63,49,027
2791,4822,1.31,1.04,10.04,13.13,49,029
2792,611,10.97,0.49,13.91,12.93,49,031
