,B24031_001E,B24031_002E,B24031_003E,B24031_004E,B24031_005E,B24031_006E,B24031_007E,B24031_008E,B24031_009E,B24031_010E,B24031_011E,B24031_012E,B24031_013E,B24031_014E,B24031_015E,B24031_016E,B24031_017E,B24031_018E,B24031_019E,B24031_020E,B24031_021E,B24031_022E,B24031_023E,B24031_024E,B24031_025E,B24031_026E,B24031_027E,state,county
954,40270.0,48047.0,47891.0,-666666666.0,40106.0,50911.0,39594.0,26250.0,55444.0,50357.0,98603.0,22452.0,39635.0,45357.0,25375.0,49318.0,53135.0,-666666666.0,45602.0,34299.0,40445.0,31653.0,31114.0,37708.0,31091.0,39219.0,53929.0,51,101
955,37343.0,20930.0,17000.0,56875.0,40879.0,43968.0,43273.0,21669.0,51315.0,39424.0,75000.0,34643.0,47634.0,47917.0,28869.0,40810.0,43735.0,-666666666.0,33086.0,38430.0,43114.0,37078.0,15947.0,31167.0,15381.0,24867.0,53374.0,51,109
956,25822.0,27143.0,38155.0,-666666666.0,26411.0,40637.0,18229.0,16502.0,56771.0,56354.0,67857.0,2499.0,35375.0,41038.0,31161.0,21076.0,28750.0,-666666666.0,7212.0,30347.0,22058.0,37292.0,11408.0,9602.0,11737.0,12277.0,40054.0,51,147
957,34736.0,32101.0,31659.0,72969.0,34083.0,39752.0,41997.0,24955.0,42307.0,41907.0,53864.0,50074.0,39308.0,50764.0,29500.0,38405.0,46742.0,-666666666.0,30100.0,36330.0,40047.0,34677.0,13890.0,10536.0,14492.0,27352.0,45393.0,51,165
958,38494.0,48750.0,44063.0,-666666666.0,48214.0,57625.0,37731.0,19194.0,70250.0,45417.0,74712.0,73281.0,40375.0,32361.0,42000.0,41895.0,48000.0,-666666666.0,12321.0,32131.0,30139.0,35387.0,9041.0,8854.0,9113.0,30658.0,47988.0,51,181
959,43561.0,36838.0,40625.0,-666666666.0,35313.0,59107.0,82426.0,21594.0,66250.0,51250.0,68933.0,41513.0,55268.0,53825.0,105208.0,61932.0,88203.0,-666666666.0,22094.0,48352.0,53424.0,40972.0,17143.0,31176.0,14227.0,31667.0,95500.0,51,043
960,28737.0,38889.0,44464.0,23664.0,29867.0,31420.0,30855.0,24400.0,32841.0,28438.0,80167.0,21597.0,38317.0,39423.0,35809.0,28696.0,49940.0,-666666666.0,21793.0,30403.0,34755.0,28008.0,12279.0,14167.0,12181.0,15179.0,40022.0,51,117
961,35835.0,28068.0,27795.0,-666666666.0,37278.0,48770.0,34306.0,24802.0,47622.0,46379.0,52303.0,43424.0,47704.0,50556.0,38438.0,31654.0,42080.0,-666666666.0,24063.0,36997.0,38011.0,36644.0,11164.0,11588.0,11126.0,24542.0,46178.0,51,015
962,46340.0,48846.0,18854.0,68250.0,44211.0,75057.0,63438.0,30579.0,75806.0,63670.0,84531.0,88482.0,63667.0,61490.0,75417.0,70128.0,83213.0,-666666666.0,36090.0,40189.0,38563.0,40724.0,21774.0,33750.0,12857.0,19375.0,46450.0,51,075
963,31834.0,14444.0,14444.0,-666666666.0,40565.0,33083.0,48200.0,25152.0,54244.0,52981.0,91000.0,62802.0,40500.0,60272.0,40250.0,40000.0,75750.0,-666666666.0,23482.0,31841.0,32417.0,30607.0,16456.0,37037.0,15759.0,37794.0,50842.0,51,113
964,41422.0,50417.0,23393.0,80050.0,47631.0,47047.0,52464.0,27833.0,55962.0,54596.0,72557.0,60139.0,44031.0,49509.0,30102.0,41688.0,57292.0,26500.0,27388.0,43128.0,42205.0,44389.0,16447.0,11810.0,18053.0,26771.0,49803.0,51,161
965,28883.0,40917.0,41042.0,4813.0,37784.0,42452.0,34196.0,15714.0,31370.0,27750.0,37029.0,14107.0,26806.0,35446.0,-666666666.0,26350.0,25982.0,-666666666.0,26818.0,24846.0,39375.0,20341.0,8316.0,4444.0,8690.0,20500.0,37760.0,51,025
966,30492.0,31667.0,31667.0,-666666666.0,32006.0,30864.0,26250.0,18047.0,49750.0,45500.0,62500.0,59444.0,31250.0,29063.0,40066.0,37000.0,87656.0,-666666666.0,16250.0,34583.0,36395.0,31139.0,13925.0,8750.0,14500.0,28750.0,42688.0,51,131
967,31640.0,37000.0,37000.0,-666666666.0,30352.0,32406.0,42740.0,24141.0,37857.0,36875.0,78750.0,5804.0,46458.0,49083.0,29063.0,48611.0,64688.0,-666666666.0,26477.0,35700.0,43344.0,29473.0,12360.0,28269.0,11692.0,29375.0,38125.0,51,163
968,29236.0,68650.0,39432.0,69900.0,10972.0,19688.0,-666666666.0,27847.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16316.0,26500.0,-666666666.0,12941.0,32147.0,31186.0,39167.0,20223.0,-666666666.0,20223.0,15875.0,32935.0,51,720
969,35061.0,53864.0,-666666666.0,-666666666.0,39353.0,54112.0,42266.0,21800.0,37404.0,37692.0,37083.0,51389.0,39963.0,41089.0,21667.0,38320.0,51222.0,-666666666.0,26214.0,41273.0,46007.0,36117.0,12162.0,6484.0,12353.0,22188.0,46339.0,51,570
970,35829.0,41250.0,-666666666.0,-666666666.0,45865.0,52071.0,45069.0,26000.0,35000.0,35110.0,-666666666.0,-666666666.0,26181.0,26059.0,-666666666.0,33250.0,32083.0,-666666666.0,34219.0,35586.0,15871.0,40962.0,10083.0,10288.0,9688.0,31691.0,41146.0,51,021
971,39688.0,34038.0,30714.0,37300.0,40224.0,56351.0,29034.0,20331.0,57785.0,58867.0,50962.0,63500.0,51157.0,59432.0,40060.0,42033.0,61613.0,-666666666.0,31723.0,44876.0,49531.0,40879.0,10083.0,11250.0,9768.0,24583.0,45409.0,51,023
972,26331.0,118864.0,-666666666.0,-666666666.0,26833.0,36558.0,39750.0,12264.0,56111.0,56042.0,-666666666.0,35147.0,23920.0,31616.0,22244.0,30382.0,41054.0,-666666666.0,26014.0,31168.0,42386.0,24186.0,7449.0,6550.0,10237.0,23301.0,57188.0,51,520
973,26146.0,-666666666.0,-666666666.0,-666666666.0,53047.0,84615.0,106458.0,13421.0,41389.0,43750.0,-666666666.0,21023.0,38669.0,38472.0,101012.0,41900.0,54107.0,-666666666.0,40099.0,18409.0,7202.0,40549.0,19090.0,21198.0,15684.0,20735.0,103750.0,51,830
974,30134.0,23710.0,20652.0,49038.0,37268.0,33832.0,30950.0,19043.0,45159.0,42117.0,50357.0,33667.0,31250.0,30893.0,31458.0,22583.0,38026.0,-666666666.0,21637.0,31543.0,31313.0,31648.0,15691.0,31199.0,15246.0,20280.0,39238.0,51,035
975,31630.0,34844.0,17474.0,101875.0,33026.0,39140.0,37981.0,21538.0,39875.0,35994.0,72857.0,37958.0,42997.0,43630.0,36959.0,38641.0,45135.0,-666666666.0,27917.0,30794.0,33482.0,30138.0,11751.0,13438.0,11523.0,17452.0,45517.0,51,191
