population_2019,STATEFP,COUNTYFP
8127.0,18,147
6376.0,18,159
41994.0,18,167
24514.0,18,173
16801.0,18,033
12325.0,18,087
6667.0,18,139
25485.0,18,011
6744.0,26,053
9209.0,27,093
23005.0,27,131
24364.0,27,027
8616.0,27,045
12584.0,27,119
6031.0,27,143
4310.0,27,165
13164.0,27,021
8688.0,27,057
8759.0,27,091
8033.0,27,105
32206.0,27,141
36754.0,27,019
14714.0,27,085
209043.0,27,123
19442.0,27,169
7756.0,27,039
26820.0,27,035
48242.0,27,171
2468.0,27,081
10249.0,27,095
13613.0,27,017
6439.0,27,065
32036.0,1,115
31034.0,1,043
39311.0,1,069
72461.0,1,125
19924.0,1,031
16927.0,1,021
4032.0,1,037
38942.0,1,055
5856.0,1,075
6506.0,1,013
25019.0,1,127
2951.0,1,063
3521.0,1,011
13448.0,1,017
12676.0,2,110
1856.0,2,290
404739.0,4,019
21945.0,4,007
50163.0,4,003
20867.0,4,001
73098.0,4,027
34990.0,4,017
6444.0,5,021
7157.0,5,043
7355.0,5,121
15034.0,5,009
3773.0,5,079
19074.0,5,035
44575.0,5,045
25975.0,13,295
293330.0,13,135
26305.0,13,013
3675.0,13,049
2477.0,13,065
37627.0,13,015
49187.0,13,097
9136.0,13,131
2974.0,13,141
35629.0,13,313
4696.0,13,193
24928.0,13,285
12156.0,13,145
1864.0,13,249
8002.0,13,321
5020.0,13,093
4020.0,13,109
21172.0,13,103
108568.0,13,051
3393.0,13,167
3714.0,13,173
10744.0,13,195
7982.0,13,205
15144.0,13,277
15038.0,13,233
2809.0,13,263
3399.0,13,273
17595.0,13,275
3185.0,13,319
5651.0,13,221
2553.0,13,243
13823.0,13,299
10400.0,13,305
2575.0,13,315
16191.0,13,009
27375.0,13,031
282436.0,13,089
11259.0,13,143
5664.0,13,163
3475.0,13,181
14385.0,13,213
3687.0,13,235
6662.0,13,241
4898.0,13,281
2490.0,13,283
3329.0,13,155
6656.0,13,001
18608.0,39,149
15090.0,39,171
41537.0,39,029
16506.0,39,051
11588.0,39,053
98472.0,39,099
29858.0,39,145
12922.0,39,117
6782.0,5,089
3327.0,5,129
97249.0,5,007
12599.0,5,059
6279.0,5,087
10655.0,8,083
127415.0,8,013
4028.0,8,125
9603.0,8,107
4395.0,8,019
64314.0,8,101
6931.0,8,093
61742.0,8,077
257507.0,8,041
240304.0,8,005
205829.0,10,003
65796.0,10,001
74143.0,9,005
554095.0,12,099
883372.0,12,086
4444.0,12,037
4381.0,12,047
56230.0,12,119
7092.0,12,059
275965.0,12,071
142979.0,12,021
204198.0,12,101
41740.0,12,055
12072.0,12,027
25133.0,12,023
28943.0,12,107
3960.0,12,125
16374.0,12,075
216495.0,12,127
6778.0,12,079
120104.0,12,033
77962.0,12,091
11570.0,13,187
2333.0,13,201
13423.0,13,219
75984.0,13,151
5695.0,13,183
9543.0,13,257
5279.0,13,161
1736.0,13,037
58116.0,13,021
3408.0,13,197
4176.0,13,023
8460.0,13,119
6494.0,13,171
8387.0,13,107
5171.0,13,159
23485.0,13,179
3363.0,13,253
3044.0,13,289
3473.0,13,269
10030.0,13,279
16251.0,39,135
40650.0,39,003
17782.0,39,033
16220.0,39,059
16234.0,39,107
54696.0,39,023
120281.0,39,093
224328.0,39,113
82957.0,39,165
37832.0,39,007
17610.0,40,071
5422.0,40,035
44906.0,40,017
4088.0,40,077
6768.0,40,139
4477.0,40,127
4267.0,40,069
1971.0,40,007
4132.0,40,063
42842.0,40,031
7733.0,40,001
16720.0,40,137
18339.0,40,019
2054.0,40,055
8327.0,40,091
5238.0,40,099
11847.0,40,115
29208.0,40,145
10320.0,40,015
26234.0,40,101
17253.0,40,013
88241.0,41,029
3381.0,41,023
157408.0,41,005
10784.0,41,057
36367.0,41,033
26908.0,41,059
19671.0,41,009
10305.0,41,065
3097.0,13,209
31076.0,13,247
1862.0,13,309
6740.0,13,011
48844.0,13,059
34119.0,13,127
23166.0,13,157
10701.0,13,169
72759.0,13,215
1816.0,13,259
3169.0,13,287
2880.0,13,003
4013.0,13,043
41903.0,13,045
8585.0,13,081
280374.0,13,067
6195.0,13,083
6335.0,13,027
7559.0,13,105
3443.0,13,165
37018.0,13,217
15505.0,13,071
94279.0,13,063
64352.0,13,139
54479.0,15,009
6683.0,16,045
8022.0,16,053
4321.0,16,073
4653.0,16,021
2538.0,16,029
31155.0,16,005
39768.0,16,019
72807.0,16,027
15422.0,16,057
83711.0,17,167
11883.0,17,157
21021.0,17,141
13719.0,17,137
6041.0,17,193
2977.0,17,071
65845.0,17,113
8433.0,17,145
60546.0,17,161
4839.0,17,185
4299.0,17,035
9970.0,17,085
6306.0,17,101
4884.0,17,123
13901.0,17,021
23883.0,17,077
73253.0,17,143
6692.0,17,147
2315.0,17,175
6299.0,17,005
6508.0,17,015
8499.0,17,083
114170.0,24,027
311343.0,24,033
209814.0,24,003
313519.0,24,005
92526.0,24,021
31973.0,24,009
12425.0,24,023
8025.0,24,029
370950.0,24,031
4489.0,2,050
1979.0,2,185
3547.0,2,220
36188.0,2,090
5397.0,2,130
31217.0,2,170
2844.0,2,180
2170.0,2,240
106567.0,2,020
3177.0,2,261
21630.0,2,122
2371.0,2,198
1552096.0,4,013
11017.0,4,009
15853.0,4,023
9346.0,4,012
86889.0,4,015
47447.0,4,005
98386.0,4,025
3132.0,4,011
141300.0,4,021
3397.0,5,099
6653.0,5,037
2969.0,5,039
8562.0,5,027
44075.0,5,125
6813.0,5,141
4851.0,5,065
14322.0,5,063
8417.0,5,083
6863.0,5,053
6723.0,5,047
4280.0,5,109
26801.0,5,069
3754.0,5,097
3944.0,5,127
51228.0,5,131
23958.0,5,033
4068.0,5,017
9682.0,5,071
3206.0,5,077
13365.0,19,125
8832.0,19,183
5718.0,19,197
5921.0,19,029
5319.0,19,035
6437.0,19,047
16891.0,19,057
8200.0,19,065
6019.0,19,085
6646.0,19,109
5554.0,19,129
4000.0,19,133
16660.0,19,139
2633.0,19,143
187798.0,19,153
15306.0,19,187
37811.0,19,169
39016.0,19,193
52905.0,19,013
5155.0,19,075
8130.0,19,105
4355.0,19,131
4554.0,19,137
4313.0,19,161
10250.0,19,149
8029.0,19,019
19635.0,19,045
3200.0,19,053
6754.0,19,101
5953.0,19,005
90877.0,19,113
34399.0,19,049
6169.0,19,141
13576.0,20,125
3652.0,20,151
3101.0,20,003
2388.0,20,053
12684.0,20,061
11344.0,20,057
3015.0,20,167
4085.0,20,117
5372.0,20,001
13499.0,20,035
10118.0,20,059
3917.0,20,159
6607.0,20,139
3585.0,20,031
15284.0,20,037
2769.0,20,073
60758.0,24,013
18577.0,24,035
40552.0,24,037
56520.0,24,017
13183.0,24,019
56035.0,24,043
37793.0,24,045
37058.0,24,015
12024.0,24,011
309844.0,25,025
6765.0,25,007
604384.0,25,017
217912.0,25,005
179423.0,25,013
294202.0,25,009
30569.0,25,011
309951.0,25,027
58838.0,25,015
13999.0,26,033
59929.0,26,115
504585.0,26,125
18107.0,26,059
65939.0,26,121
9139.0,26,089
33700.0,26,087
17499.0,26,151
2793.0,26,131
102610.0,26,139
4988.0,26,001
22964.0,26,067
7145.0,26,079
63665.0,26,021
9184.0,26,129
12963.0,26,165
6141.0,26,039
11231.0,26,043
13847.0,26,063
112840.0,26,065
12186.0,26,105
10627.0,26,109
6055.0,26,113
24150.0,26,149
29411.0,26,159
6571.0,26,011
24296.0,26,015
5225.0,26,071
6792.0,26,019
3468.0,26,153
682282.0,26,163
37319.0,26,055
5269.0,26,097
167902.0,26,049
8176.0,20,099
197229.0,20,173
46936.0,20,045
2151.0,20,069
2700.0,46,121
8877.0,53,039
28722.0,53,027
30818.0,53,025
293823.0,53,061
5566.0,54,089
15188.0,54,025
10916.0,54,057
6574.0,54,041
3530.0,54,075
11135.0,54,083
2505.0,54,105
3274.0,54,015
39466.0,54,061
5762.0,54,103
79070.0,54,039
12429.0,54,077
4049.0,54,085
8208.0,54,043
5624.0,54,007
8932.0,54,005
8805.0,54,109
16859.0,55,033
19583.0,55,043
47738.0,55,117
5772.0,55,011
47518.0,55,063
55466.0,55,073
12005.0,55,121
34980.0,55,027
10921.0,55,125
34563.0,55,071
7305.0,55,013
13191.0,55,029
41542.0,55,039
3070.0,55,091
7538.0,55,103
9934.0,55,137
6722.0,55,065
15593.0,55,093
19807.0,55,015
64111.0,55,059
3845.0,56,019
1814.0,20,189
2551.0,20,067
9899.0,26,009
13386.0,26,061
72000.0,26,093
11669.0,26,069
4631.0,26,085
9426.0,26,101
5465.0,20,085
3133.0,20,095
4007.0,20,131
8698.0,20,149
60128.0,20,209
7929.0,20,021
24870.0,20,015
3514.0,20,027
21959.0,20,169
9416.0,20,191
2744.0,20,197
3712.0,20,205
2570.0,20,123
5958.0,20,005
12519.0,20,055
27253.0,20,103
2332.0,20,201
1830.0,20,137
10624.0,20,009
3689.0,20,029
4846.0,20,115
6601.0,20,133
2446.0,20,143
26490.0,20,161
7911.0,20,041
7575.0,20,087
14056.0,21,089
5841.0,21,069
9606.0,21,043
9141.0,21,081
312679.0,21,111
10418.0,21,141
6700.0,21,161
5253.0,21,191
6763.0,21,215
4827.0,21,011
3065.0,21,007
11023.0,21,021
4413.0,21,087
11134.0,21,095
4153.0,21,159
9697.0,21,137
4491.0,21,171
9122.0,21,183
5374.0,21,225
4953.0,21,233
12987.0,48,249
2364.0,48,111
4452.0,26,119
5797.0,26,141
11047.0,26,051
103445.0,26,077
15808.0,26,107
26552.0,26,103
19161.0,26,123
9181.0,26,133
9944.0,26,137
53991.0,26,025
11195.0,26,031
2231.0,26,095
241746.0,26,081
78933.0,26,145
27593.0,26,155
44339.0,26,017
11503.0,26,029
16234.0,26,041
14463.0,26,047
5538.0,27,071
13371.0,27,097
5995.0,27,113
14692.0,27,147
2818.0,27,167
7681.0,27,001
6137.0,27,043
3645.0,27,101
16889.0,27,067
5192.0,27,075
3914.0,27,133
5980.0,27,135
13617.0,27,005
508030.0,27,053
10764.0,27,015
5209.0,27,023
3405.0,27,029
19452.0,27,049
14903.0,27,059
4419.0,27,063
15565.0,27,099
10760.0,27,115
62108.0,27,109
5666.0,27,159
16452.0,27,009
13009.0,27,047
19506.0,27,061
4981.0,27,121
3624.0,27,149
4263.0,27,151
4846.0,27,033
49479.0,27,139
9020.0,27,157
3973.0,27,117
2746.0,27,107
12885.0,27,103
237883.0,48,157
5782.0,48,489
4322.0,48,115
6810.0,48,051
129451.0,48,355
4330.0,48,379
2288.0,48,065
6758.0,48,161
26873.0,48,291
6444.0,48,395
18108.0,48,401
6030.0,48,455
8399.0,48,019
2407.0,48,075
51367.0,48,091
8252.0,48,225
17338.0,48,349
5941.0,48,415
25571.0,48,021
8269.0,48,025
25338.0,50,021
12279.0,50,017
24298.0,50,027
165991.0,49,049
6868.0,49,013
10569.0,49,047
104551.0,49,011
3665.0,49,015
14587.0,51,093
3522.0,51,620
2158.0,51,678
21218.0,51,089
6078.0,51,101
13871.0,51,109
7185.0,51,147
30994.0,51,165
14996.0,21,035
6099.0,21,045
25721.0,21,047
40179.0,21,059
9758.0,21,085
18643.0,21,101
6044.0,21,103
18588.0,21,107
5484.0,21,109
22573.0,21,125
13121.0,21,157
10685.0,21,163
10481.0,21,173
2804.0,21,181
20911.0,21,185
16663.0,27,041
2612.0,27,051
10939.0,27,079
3995.0,21,187
6544.0,21,203
20551.0,21,209
48224.0,21,227
7605.0,21,003
8106.0,21,017
29690.0,21,029
3567.0,21,055
2441.0,21,075
6388.0,21,119
2651.0,21,165
11351.0,21,177
11226.0,21,193
2898.0,21,237
7622.0,21,051
10624.0,21,013
2616.0,21,057
14316.0,21,083
2839.0,21,129
4958.0,21,031
4885.0,21,061
7283.0,21,097
3318.0,21,023
17853.0,21,179
8231.0,21,231
7405.0,21,155
5892.0,21,221
46997.0,21,015
18821.0,21,113
11961.0,21,121
9721.0,21,133
3857.0,21,139
25702.0,21,195
16624.0,21,211
8694.0,21,005
7598.0,21,027
21076.0,21,073
6052.0,21,147
33359.0,21,151
4074.0,21,169
7028.0,21,213
14509.0,21,049
4644.0,21,219
4101.0,21,041
3985.0,21,053
3105.0,21,077
7459.0,22,083
1946.0,27,087
20242.0,27,025
6261.0,27,127
4087.0,27,173
9819.0,27,153
17372.0,27,007
26091.0,27,013
8253.0,27,055
3090.0,27,073
24687.0,27,111
7425.0,27,161
85807.0,27,137
128198.0,27,003
59479.0,27,145
161488.0,27,037
10018.0,27,083
3971.0,27,089
6085.0,27,129
94431.0,27,163
2691.0,27,031
5014.0,29,139
11530.0,29,207
9286.0,29,007
125201.0,29,077
4139.0,29,185
16031.0,29,029
84444.0,29,099
7371.0,29,143
4036.0,29,173
4903.0,30,017
3150.0,30,085
4535.0,30,083
3903.0,30,023
3166.0,30,087
3930.0,30,021
2364.0,30,007
2244.0,31,169
12712.0,31,001
2311.0,31,011
19749.0,22,099
17696.0,22,115
5483.0,22,127
164346.0,22,033
9158.0,22,085
7925.0,22,003
3832.0,22,065
11726.0,22,053
7719.0,22,093
6989.0,22,043
3869.0,22,125
169452.0,22,051
8166.0,1,099
12677.0,1,079
60237.0,1,081
11997.0,1,093
7637.0,1,107
5202.0,1,119
261231.0,1,073
