ISO3,year,value,lower_uncertainty,upper_uncertainty,id
GAB,1970,0.83187472820282,0.809886634349823,0.858053803443909,266
GNQ,1970,0.895837068557739,0.878109037876129,0.924644231796265,226
STP,1970,0.951804578304291,0.905153095722198,1.0,678
TCD,1970,0.803081870079041,0.772378146648407,0.912799775600433,148
BWA,1970,0.827884495258331,0.785742998123169,0.897626757621765,72
LSO,1970,0.557470917701721,0.506760478019714,0.704039216041565,426
NAM,1970,0.767988801002502,0.732124745845795,0.874822378158569,516
SWZ,1970,0.578683316707611,0.5193971991539,0.756642520427704,748
ZAF,1970,0.621075212955475,0.577828943729401,0.768959522247314,710
AUS,1970,0.692850172519684,0.66868644952774,0.781691491603851,36
CXR,1970,,,,162
HMD,1970,,,,334
NFK,1970,,,,574
NZL,1970,0.555017948150635,0.520136713981628,0.628082931041718,554
FJI,1970,0.940380454063416,0.899959743022919,0.986040353775024,242
NCL,1970,0.848739087581635,0.826434671878815,0.876025795936584,540
PNG,1970,0.974898815155029,0.947443902492523,0.999427258968353,598
SLB,1970,0.947690188884735,0.910922348499298,0.993208110332489,90
VUT,1970,0.941361308097839,0.915548741817474,0.994818210601807,548
FSM,1970,,,,583
GUM,1970,,,,316
KIR,1970,,,,296
MHL,1970,,,,584
MNP,1970,,,,580
NRU,1970,,,,520
PLW,1970,,,,585
UMI,1970,,,,581
ASM,1970,,,,16
COK,1970,,,,184
NIU,1970,,,,570
PCN,1970,,,,612
PYF,1970,,,,258
TON,1970,,,,776
WLF,1970,,,,876
WSM,1970,0.912399530410767,0.837849676609039,1.0,882
BMU,1970,,,,60
CAN,1970,0.91561633348465,0.909023940563202,0.926217198371887,124
GRL,1970,0.911532938480377,0.899793386459351,0.932942092418671,304
SPM,1970,0.975144624710083,0.909029006958008,1.0,666
USA,1970,0.680270195007324,0.654563248157501,0.755171358585358,840
ARG,1970,0.772275805473328,0.738730370998383,0.845542550086975,32
BOL,1970,0.842055857181549,0.820301473140717,0.889787197113037,68
BRA,1970,0.845864832401276,0.829861283302307,0.867870032787323,76
BVT,1970,,,,74
CHL,1970,0.89105498790741,0.872501969337463,0.911124646663666,152
COL,1970,0.716960310935974,0.699555218219757,0.769798696041107,170
ECU,1970,0.871626496315002,0.855281710624695,0.889815926551819,218
FLK,1970,0.950644731521606,0.939657866954803,0.969509840011597,238
GUF,1970,0.993613421916962,0.98972362279892,0.996998369693756,254
GUY,1970,0.955975770950317,0.944740176200867,0.968935310840607,328
PER,1970,0.938945055007935,0.924897313117981,0.954162418842316,604
PRY,1970,0.834875106811523,0.81205028295517,0.860270738601685,600
SGS,1970,,,,239
SUR,1970,0.997210621833801,0.987324416637421,1.0,740
URY,1970,0.367548555135727,0.315799683332443,0.467537820339203,858
VEN,1970,0.873626530170441,0.854859054088593,0.898430585861206,862
BLZ,1970,0.94762122631073,0.934098660945892,0.964164137840271,84
CRI,1970,0.7240309715271,0.697169125080109,0.760662138462067,188
GTM,1970,0.749104201793671,0.723232448101044,0.770703732967377,320
