FIPS,County_State,WaterStressERA
6065,Riverside_California,11.946
6067,Sacramento_California,2.877
6069,San Benito_California,0.28
6071,San Bernardino_California,1.584
6073,San Diego_California,2.964
6075,San Francisco_California,5.479
6077,San Joaquin_California,3.826
6079,San Luis Obispo_California,1.396
6081,San Mateo_California,0.779
6083,Santa Barbara_California,1.568
6085,Santa Clara_California,0.778
6087,Santa Cruz_California,0.392
6089,Shasta_California,0.073
6091,Sierra_California,0.032
6093,Siskiyou_California,0.037
6095,Solano_California,2.185
6097,Sonoma_California,0.328
6099,Stanislaus_California,3.556
6101,Sutter_California,4.34
6103,Tehama_California,0.315
6105,Trinity_California,0.006
6107,Tulare_California,1.17
6109,Tuolumne_California,0.013
6111,Ventura_California,4.549
6113,Yolo_California,2.474
6115,Yuba_California,0.765
8001,Adams_Colorado,0.451
8003,Alamosa_Colorado,1.961
8005,Arapahoe_Colorado,0.56
8007,Archuleta_Colorado,0.046
8009,Baca_Colorado,0.217
8011,Bent_Colorado,0.681
8013,Boulder_Colorado,0.321
8014,Broomfield_Colorado,0.346
8015,Chaffee_Colorado,0.32
8017,Cheyenne_Colorado,0.079
8019,Clear Creek_Colorado,0.006
8021,Conejos_Colorado,0.553
8023,Costilla_Colorado,0.456
8025,Crowley_Colorado,0.087
8027,Custer_Colorado,0.126
8029,Delta_Colorado,0.837
8031,Denver_Colorado,2.462
8033,Dolores_Colorado,0.011
8035,Douglas_Colorado,0.119
8037,Eagle_Colorado,0.157
8039,Elbert_Colorado,0.028
8041,El Paso_Colorado,0.112
8043,Fremont_Colorado,0.227
8045,Garfield_Colorado,0.221
8047,Gilpin_Colorado,0.009
8049,Grand_Colorado,0.253
8051,Gunnison_Colorado,0.328
8053,Hinsdale_Colorado,0.035
8055,Huerfano_Colorado,0.066
8057,Jackson_Colorado,0.477
8059,Jefferson_Colorado,0.149
8061,Kiowa_Colorado,0.006
8063,Kit Carson_Colorado,0.239
8065,Lake_Colorado,0.08
8067,La Plata_Colorado,0.259
8069,Larimer_Colorado,0.12
8071,Las Animas_Colorado,0.021
8073,Lincoln_Colorado,0.01
8075,Logan_Colorado,0.251
8077,Mesa_Colorado,0.976
8079,Mineral_Colorado,0.014
8081,Moffat_Colorado,0.163
8083,Montezuma_Colorado,0.28
8085,Montrose_Colorado,1.272
8087,Morgan_Colorado,0.418
8089,Otero_Colorado,1.686
8091,Ouray_Colorado,0.47
8093,Park_Colorado,0.039
8095,Phillips_Colorado,0.362
8097,Pitkin_Colorado,0.216
8099,Prowers_Colorado,0.315
8101,Pueblo_Colorado,0.512
8103,Rio Blanco_Colorado,0.165
8105,Rio Grande_Colorado,1.841
8107,Routt_Colorado,0.157
8109,Saguache_Colorado,0.408
8111,San Juan_Colorado,0.001
8113,San Miguel_Colorado,0.114
8115,Sedgwick_Colorado,0.445
8117,Summit_Colorado,0.165
8119,Teller_Colorado,0.039
8121,Washington_Colorado,0.079
8123,Weld_Colorado,0.319
8125,Yuma_Colorado,0.495
9001,Fairfield_Connecticut,0.161
9003,Hartford_Connecticut,0.348
9005,Litchfield_Connecticut,0.026
9007,Middlesex_Connecticut,0.202
9009,New Haven_Connecticut,0.174
9011,New London_Connecticut,0.032
9013,Tolland_Connecticut,0.027
9015,Windham_Connecticut,0.057
10001,Kent_Delaware,0.066
10003,New Castle_Delaware,0.819
10005,Sussex_Delaware,0.099
11001,District of Columbia_District of Columbia,0.001
12001,Alachua_Florida,0.066
12003,Baker_Florida,0.009
12005,Bay_Florida,0.057
12007,Bradford_Florida,0.023
12009,Brevard_Florida,0.075
12011,Broward_Florida,0.251
12013,Calhoun_Florida,0.009
12015,Charlotte_Florida,0.046
12017,Citrus_Florida,0.05
12019,Clay_Florida,0.05
12021,Collier_Florida,0.17
12023,Columbia_Florida,0.017
12027,DeSoto_Florida,0.18
12029,Dixie_Florida,0.011
12031,Duval_Florida,0.217
12033,Escambia_Florida,0.241
12035,Flagler_Florida,0.056
12037,Franklin_Florida,0.003
12039,Gadsden_Florida,0.036
12041,Gilchrist_Florida,0.068
12043,Glades_Florida,0.245
12045,Gulf_Florida,0.004
12047,Hamilton_Florida,0.13
12049,Hardee_Florida,0.086
12051,Hendry_Florida,0.628
12053,Hernando_Florida,0.077
12055,Highlands_Florida,0.129
12057,Hillsborough_Florida,0.321
12059,Holmes_Florida,0.006
12061,Indian River_Florida,0.127
12063,Jackson_Florida,0.091
12065,Jefferson_Florida,0.014
12067,Lafayette_Florida,0.028
12069,Lake_Florida,0.137
12071,Lee_Florida,0.262
12073,Leon_Florida,0.069
12075,Levy_Florida,0.019
12077,Liberty_Florida,0.002
12079,Madison_Florida,0.039
12081,Manatee_Florida,0.196
12083,Marion_Florida,0.047
12085,Martin_Florida,0.325
12086,Miami-Dade_Florida,0.33
12087,Monroe_Florida,0.002
12089,Nassau_Florida,0.088
12091,Okaloosa_Florida,0.021
12093,Okeechobee_Florida,0.032
12095,Orange_Florida,0.358
12097,Osceola_Florida,0.066
12099,Palm Beach_Florida,0.458
12101,Pasco_Florida,0.127
12103,Pinellas_Florida,0.067
12105,Polk_Florida,0.162
12107,Putnam_Florida,0.12
12109,St. Johns_Florida,0.114
12111,St. Lucie_Florida,0.119
12113,Santa Rosa_Florida,0.014
12115,Sarasota_Florida,0.048
12117,Seminole_Florida,0.257
12119,Sumter_Florida,0.095
12121,Suwannee_Florida,0.408
12123,Taylor_Florida,0.047
12125,Union_Florida,0.015
12127,Volusia_Florida,0.105
12129,Wakulla_Florida,0.008
12131,Walton_Florida,0.012
12133,Washington_Florida,0.006
13001,Appling_Georgia,0.181
13003,Atkinson_Georgia,0.013
13005,Bacon_Georgia,0.029
13007,Baker_Georgia,0.083
13009,Baldwin_Georgia,0.015
13011,Banks_Georgia,0.01
13013,Barrow_Georgia,0.028
13015,Bartow_Georgia,0.131
13017,Ben Hill_Georgia,0.04
13019,Berrien_Georgia,0.028
13021,Bibb_Georgia,0.176
13023,Bleckley_Georgia,0.039
13025,Brantley_Georgia,0.005
13027,Brooks_Georgia,0.045
13029,Bryan_Georgia,0.009
13031,Bulloch_Georgia,0.021
13033,Burke_Georgia,0.09
13035,Butts_Georgia,0.012
13037,Calhoun_Georgia,0.061
13039,Camden_Georgia,0.01
13043,Candler_Georgia,0.017
13045,Carroll_Georgia,0.019
13047,Catoosa_Georgia,0.022
13049,Charlton_Georgia,0.003
13051,Chatham_Georgia,0.15
13053,Chattahoochee_Georgia,0.003
13055,Chattooga_Georgia,0.018
13057,Cherokee_Georgia,0.029
13059,Clarke_Georgia,0.064
13061,Clay_Georgia,0.017
13063,Clayton_Georgia,0.056
13065,Clinch_Georgia,0.002
13067,Cobb_Georgia,0.101
13069,Coffee_Georgia,0.037
13071,Colquitt_Georgia,0.084
13073,Columbia_Georgia,0.045
13075,Cook_Georgia,0.079
13077,Coweta_Georgia,0.05
13079,Crawford_Georgia,0.01
13081,Crisp_Georgia,0.086
13083,Dade_Georgia,0.008
13085,Dawson_Georgia,0.005
13087,Decatur_Georgia,0.153
13089,DeKalb_Georgia,0.004
13091,Dodge_Georgia,0.028
13093,Dooly_Georgia,0.05
13095,Dougherty_Georgia,0.191
13097,Douglas_Georgia,0.057
13099,Early_Georgia,0.241
13101,Echols_Georgia,0.007
13103,Effingham_Georgia,0.291
13105,Elbert_Georgia,0.007
13107,Emanuel_Georgia,0.01
13109,Evans_Georgia,0.041
13111,Fannin_Georgia,0.063
13113,Fayette_Georgia,0.042
13115,Floyd_Georgia,0.321
13117,Forsyth_Georgia,0.058
13119,Franklin_Georgia,0.01
13121,Fulton_Georgia,0.23
13123,Gilmer_Georgia,0.009
13125,Glascock_Georgia,0.002
13127,Glynn_Georgia,0.103
13129,Gordon_Georgia,0.024
13131,Grady_Georgia,0.031
13133,Greene_Georgia,0.006
13135,Gwinnett_Georgia,0.003
13137,Habersham_Georgia,0.012
13139,Hall_Georgia,0.111
13141,Hancock_Georgia,0.003
13143,Haralson_Georgia,0.008
13145,Harris_Georgia,0.01
13147,Hart_Georgia,0.011
13149,Heard_Georgia,0.035
13151,Henry_Georgia,0.085
13153,Houston_Georgia,0.096
13155,Irwin_Georgia,0.077
13157,Jackson_Georgia,0.02
13159,Jasper_Georgia,0.004
13161,Jeff Davis_Georgia,0.018
13163,Jefferson_Georgia,0.045
13165,Jenkins_Georgia,0.026
13167,Johnson_Georgia,0.009
13169,Jones_Georgia,0.01
13171,Lamar_Georgia,0.017
13173,Lanier_Georgia,0.02
13175,Laurens_Georgia,0.034
13177,Lee_Georgia,0.097
13179,Liberty_Georgia,0.038
13181,Lincoln_Georgia,0.001
13183,Long_Georgia,0.005
13185,Lowndes_Georgia,0.1
13187,Lumpkin_Georgia,0.006
13189,McDuffie_Georgia,0.01
13191,McIntosh_Georgia,0.003
13193,Macon_Georgia,0.065
13195,Madison_Georgia,0.007
13197,Marion_Georgia,0.012
13199,Meriwether_Georgia,0.002
13201,Miller_Georgia,0.152
13205,Mitchell_Georgia,0.206
13207,Monroe_Georgia,0.102
13209,Montgomery_Georgia,0.011
13211,Morgan_Georgia,0.009
13213,Murray_Georgia,0.006
13215,Muscogee_Georgia,0.145
13217,Newton_Georgia,0.039
13219,Oconee_Georgia,0.016
13221,Oglethorpe_Georgia,0.006
13223,Paulding_Georgia,0.007
13225,Peach_Georgia,0.051
13227,Pickens_Georgia,0.012
13229,Pierce_Georgia,0.021
13231,Pike_Georgia,0.019
13233,Polk_Georgia,0.018
13235,Pulaski_Georgia,0.065
13237,Putnam_Georgia,0.415
13239,Quitman_Georgia,0.001
13241,Rabun_Georgia,0.004
13243,Randolph_Georgia,0.041
13245,Richmond_Georgia,0.243
13247,Rockdale_Georgia,0.068
13249,Schley_Georgia,0.004
13251,Screven_Georgia,0.026
13253,Seminole_Georgia,0.233
13255,Spalding_Georgia,0.028
13257,Stephens_Georgia,0.011
13259,Stewart_Georgia,0.003
13261,Sumter_Georgia,0.056
13263,Talbot_Georgia,0.004
13265,Taliaferro_Georgia,0
13267,Tattnall_Georgia,0.034
13269,Taylor_Georgia,0.008
13271,Telfair_Georgia,0.016
13273,Terrell_Georgia,0.048
13275,Thomas_Georgia,0.037
13277,Tift_Georgia,0.116
13279,Toombs_Georgia,0.049
13281,Towns_Georgia,0.006
13283,Treutlen_Georgia,0.017
13285,Troup_Georgia,0.016
13287,Turner_Georgia,0.068
13289,Twiggs_Georgia,0.017
13291,Union_Georgia,0.003
13293,Upson_Georgia,0.012
13295,Walker_Georgia,0.011
13297,Walton_Georgia,0.014
13299,Ware_Georgia,0.008
13301,Warren_Georgia,0.003
13303,Washington_Georgia,0.026
13305,Wayne_Georgia,0.118
13307,Webster_Georgia,0.021
13309,Wheeler_Georgia,0.013
13311,White_Georgia,0.006
13313,Whitfield_Georgia,0.058
13315,Wilcox_Georgia,0.074
13317,Wilkes_Georgia,0.003
13319,Wilkinson_Georgia,0.035
13321,Worth_Georgia,0.07
16001,Ada_Idaho,1.292
16003,Adams_Idaho,0.032
16005,Bannock_Idaho,0.682
16007,Bear Lake_Idaho,0.495
16009,Benewah_Idaho,0.017
16011,Bingham_Idaho,1.828
16013,Blaine_Idaho,0.196
16015,Boise_Idaho,0.003
16017,Bonner_Idaho,0.008
16019,Bonneville_Idaho,0.92
16021,Boundary_Idaho,0.093
16023,Butte_Idaho,0.321
16025,Camas_Idaho,0.445
16027,Canyon_Idaho,9.233
16029,Caribou_Idaho,0.574
16031,Cassia_Idaho,1.347
16033,Clark_Idaho,0.236
16035,Clearwater_Idaho,0.055
16037,Custer_Idaho,0.057
16039,Elmore_Idaho,0.246
16041,Franklin_Idaho,1.34
16043,Fremont_Idaho,0.373
16045,Gem_Idaho,0.656
16047,Gooding_Idaho,4.61
16049,Idaho_Idaho,0.014
16051,Jefferson_Idaho,3.012
16053,Jerome_Idaho,5.296
16055,Kootenai_Idaho,0.114
16057,Latah_Idaho,0.218
16059,Lemhi_Idaho,0.044
16061,Lewis_Idaho,0.149
16063,Lincoln_Idaho,0.76
16065,Madison_Idaho,2.24
16067,Minidoka_Idaho,5.005
16069,Nez Perce_Idaho,0.594
16071,Oneida_Idaho,1.938
16073,Owyhee_Idaho,0.431
16075,Payette_Idaho,4.552
16077,Power_Idaho,1.59
16079,Shoshone_Idaho,0.002
16081,Teton_Idaho,1.475
16083,Twin Falls_Idaho,3.534
16085,Valley_Idaho,0.005
16087,Washington_Idaho,0.563
17001,Adams_Illinois,0.018
17003,Alexander_Illinois,0.01
17005,Bond_Illinois,0.003
17007,Boone_Illinois,0.023
17009,Brown_Illinois,0.001
17011,Bureau_Illinois,0.01
17013,Calhoun_Illinois,0.002
17015,Carroll_Illinois,0.011
17017,Cass_Illinois,0.031
17019,Champaign_Illinois,0.033
17021,Christian_Illinois,1.07
17023,Clark_Illinois,0.012
17025,Clay_Illinois,0.001
17027,Clinton_Illinois,0.013
17029,Coles_Illinois,0.008
17031,Cook_Illinois,0.888
17033,Crawford_Illinois,0.023
17035,Cumberland_Illinois,0.003
17037,DeKalb_Illinois,0.019
17039,De Witt_Illinois,1.808
17041,Douglas_Illinois,0.01
17043,DuPage_Illinois,0.048
17045,Edgar_Illinois,0.004
17047,Edwards_Illinois,0
17049,Effingham_Illinois,0.007
17051,Fayette_Illinois,0.002
17053,Ford_Illinois,0.008
17055,Franklin_Illinois,0.032
