'state_id','county_id','value','start_date','end_date','source','dataset'),
(1,111,4329.99185004075,'2018-01-01','2018-12-31',14,85),
(1,113,4329.99185004075,'2018-01-01','2018-12-31',14,85),
(1,115,4329.99185004075,'2018-01-01','2018-12-31',14,85),
(1,117,4329.99185004075,'2018-01-01','2018-12-31',14,85),
(1,119,4329.99185004075,'2018-01-01','2018-12-31',14,85),
(1,121,4329.99185004075,'2018-01-01','2018-12-31',14,85),
(1,123,4329.99185004075,'2018-01-01','2018-12-31',14,85),
(1,125,4329.99185004075,'2018-01-01','2018-12-31',14,85),
(1,127,4329.99185004075,'2018-01-01','2018-12-31',14,85),
(1,129,4329.99185004075,'2018-01-01','2018-12-31',14,85),
(1,131,4329.99185004075,'2018-01-01','2018-12-31',14,85),
(1,133,4329.99185004075,'2018-01-01','2018-12-31',14,85),
(5,1,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,3,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,5,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,7,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,9,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,11,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,13,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,15,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,17,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,19,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,21,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,23,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,25,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,27,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,29,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,31,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,33,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,35,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,37,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,39,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,41,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,43,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,45,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,47,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,49,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,51,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,53,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,55,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
(5,57,3980.3376365441904,'2018-01-01','2018-12-31',14,85),
