'state_id','county_id','value','start_date','end_date','source','dataset'),
(51,135,9.21,'2015-01-01','2015-12-31',12,69),
(13,55,8.53,'2015-01-01','2015-12-31',12,69),
(19,109,6.84,'2015-01-01','2015-12-31',12,69),
(27,27,6.48,'2015-01-01','2015-12-31',12,69),
(36,9,7.42,'2015-01-01','2015-12-31',12,69),
(6,87,4.95,'2015-01-01','2015-12-31',12,69),
(24,15,9.35,'2015-01-01','2015-12-31',12,69),
(26,21,9.27,'2015-01-01','2015-12-31',12,69),
(28,3,8.76,'2015-01-01','2015-12-31',12,69),
(29,145,7.69,'2015-01-01','2015-12-31',12,69),
(48,215,10.65,'2015-01-01','2015-12-31',12,69),
(48,403,7.46,'2015-01-01','2015-12-31',12,69),
(1,9,9.65,'2015-01-01','2015-12-31',12,69),
(8,13,6.86,'2015-01-01','2015-12-31',12,69),
(13,247,9.43,'2015-01-01','2015-12-31',12,69),
(17,27,9.68,'2015-01-01','2015-12-31',12,69),
(18,55,7.98,'2015-01-01','2015-12-31',12,69),
(20,27,7.01,'2015-01-01','2015-12-31',12,69),
(21,73,9.75,'2015-01-01','2015-12-31',12,69),
(28,133,8.74,'2015-01-01','2015-12-31',12,69),
(31,149,4.27,'2015-01-01','2015-12-31',12,69),
(45,87,7.97,'2015-01-01','2015-12-31',12,69),
(47,113,8.25,'2015-01-01','2015-12-31',12,69),
(51,740,7.45,'2015-01-01','2015-12-31',12,69),
(51,810,7.38,'2015-01-01','2015-12-31',12,69),
(55,49,8.69,'2015-01-01','2015-12-31',12,69),
(17,55,8.76,'2015-01-01','2015-12-31',12,69),
(19,171,8.12,'2015-01-01','2015-12-31',12,69),
(19,101,8.44,'2015-01-01','2015-12-31',12,69),
(20,107,8.16,'2015-01-01','2015-12-31',12,69),
(37,83,8.38,'2015-01-01','2015-12-31',12,69),
(21,155,9.7,'2015-01-01','2015-12-31',12,69),
(38,69,5.83,'2015-01-01','2015-12-31',12,69),
(17,187,8.92,'2015-01-01','2015-12-31',12,69),
(46,123,5.05,'2015-01-01','2015-12-31',12,69),
(42,131,9.69,'2015-01-01','2015-12-31',12,69),
