statecode,discuss,discussOppose,reducetax,reducetaxOppose,CO2limits,CO2limitsOppose,localofficials,localofficialsOppose,governor,governorOppose,congress,congressOppose,president,presidentOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,drilloffshore,drilloffshoreOppose,drillANWR,drillANWROppose,fundrenewables,fundrenewablesOppose,rebates,rebatesOppose,mediaweekly,mediaweeklyOppose,prienv,prienvOppose,teachGW,teachGWOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose,affectweather,affectweatherOppose,PerCapitapersonalincome2016,PerCapitapersonalincome2017,PerCapitapersonalincome2018,Percentchangefromprecedingyear2017,Percentchangefromprecedingyear2018,GDP2015,GDP2016,GDP2017,GDP2018,PercentchangeGDPfromprecedingyear2016,PercentchangeGDPfromprecedingyear2017,PercentchangeGDPfromprecedingyear2018,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,Populationpersquaremile2010,TotalemploymentnumberofjobsUmp,WageandsalaryemploymentUmp,ProprietorsemploymentUmp,FarmproprietorsemploymentUmp,NonfarmproprietorsemploymentUmp,FarmemploymentUmp,NonfarmemploymentUmp,PrivatenonfarmemploymentUmp,ForestryfishingandrelatedactivitiesUmp,MiningquarryingandoilandgasextractionUmp,UtilitiesUmp,ConstructionUmp,ManufacturingUmp,WholesaletradeUmp,RetailtradeUmp,TransportationandwarehousingUmp,InformationUmp,FinanceandinsuranceUmp,RealestateandrentalandleasingUmp,ProfessionalscientificandtechnicalservicesUmp,ManagementofcompaniesandenterprisesUmp,AdministrativeandsupportandwastemanagementandremediationsUmp,EducationalservicesUmp,HealthcareandsocialassistanceUmp,ArtsentertainmentandrecreationUmp,AccommodationandfoodservicesUmp,OtherservicesexceptgovernmentandgovernmententerprisesUmp,GovernmentandgovernmententerprisesUmp,FederalcivilianUmp,MilitaryUmp,StateandlocalUmp,StategovernmentUmp,LocalgovernmentUmp,TotalEnergyExpendituremilliondollars,Totalenergyexpenditurepercapitadollarspercapita,TotalResidentialEnergyExpendituremilliondollars,ResidentialEnergyExpenditurepercapitadollarspercapita,TotalTransportationEnergyExpendituremildollars,TransportationEnergyExpenditurepercapitadollars
22,41.25,58.68,70.73,29.51,74.72,24.7,57.63,14.91,59.03,14.24,66.8,15.31,63.59,9.78,74.38,10.66,68.06,10.17,77.3,21.93,69.23,30.22,48.04,52.01,26.53,74.14,87.44,12.53,84.41,15.06,38.33,60.56,72.7,24.55,79.16,20.54,72.22,12.96,58.87,28.4,60.67,22.39,66.47,33.4,44.18,48.75,62.73,30.88,67.52,23.51,74.16,18.21,75.31,18.11,51.08,48.92,67.35,5.68,65473,68233,71683,4.2,5.1,471135269,478961042,490839833,506072766,1.7,2.5,3.1,6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503,839.4,4936751,3822709,1114042,6195,1107847,10432,4926319,4458040,10463,2353,12646,265058,258974,137957,423848,189545,108251,291369,221265,510281,77496,254270,253917,712571,135007,339047,253722,468279,46226,19363,402690,126561,276129,6182,4616.7,1864,1392.03,2532,1890.89
23,33.358,66.41,68.57,31.54,69.08,30.35,55.1,14.97,57.41,15.46,60.12,17.79,59.01,12.79,69.92,11.05,62.54,11.6,73.4,25.49,64.05,34.82,52.64,45.94,30.94,68.56,84.35,14.82,82.02,17.01,29.53,68.91,67.32,29.61,76.59,22.8,64.6,16.73,53.1,32.19,48.37,25.99,56.92,43.03,39.47,51.29,55.28,34.42,59.12,28.57,66.88,22.67,67.14,22.77,45.74,54.26,58.94,7.45,44868,46258,48423,3.1,4.7,442481789,452268793,459129090,470529220,2.2,1.5,2.5,9877510,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857,174.8,5772831,4521246,1251585,41584,1210001,65390,5707441,5088972,17730,12420,21043,282091,653240,188747,562633,207470,70437,265130,267602,425957,78711,376511,105308,687504,114931,412774,338733,618469,52384,17693,548392,188781,359611,35987.6,3604.5,9196,921.07,15926,1595.14
24,36.044,64.04,62.69,37.66,67.45,31.84,52.95,17.33,52.84,17.99,59.68,20.12,58.15,13.32,70.4,11.35,64.04,12.18,71.9,27.45,64.46,34.28,50.1,49.16,31.36,68.77,84.33,15.19,81.38,18.08,35.96,62.73,70.82,25.89,72.69,27.16,65.74,18.17,51.98,33.94,54.88,27.34,58.36,41.66,37.79,55.61,54.71,37.93,63.88,29.43,70.5,23.64,70.44,24.31,43.62,56.38,60.63,7.17,53209,54919,57515,3.2,4.7,313086208,319129918,325322723,333919546,1.9,1.9,2.6,5310828,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632,66.6,3819497,3038946,780551,59304,721247,75401,3744096,3314457,14919,8698,12578,187146,340069,138456,359245,151858,55978,229224,153715,244556,93925,172516,92138,516599,98699,243194,200944,429639,32187,19829,377623,95106,282517,22236.7,3966.4,4868,868.31,9987,1781.4
25,29.046,70.91,63.28,35.5,62.95,36.04,54.79,15.3,55.19,16.84,57.02,20.67,57.31,13.87,65.22,12,59.87,12.85,69.17,29.27,57.46,41.93,62.34,35.59,38.29,59.74,80.25,18.89,79.51,19.63,23.83,74.29,68.77,28.83,75.86,23.45,60.62,16.47,47.16,35.65,42.04,25.41,54.66,45.1,39.39,46.68,52.55,32.39,50.76,27.68,58.31,23.46,60.54,23.03,45.12,54.88,50.06,8.22,35613,36375,37834,2.1,4,100242514,100656508,101515677,102837396,0.4,0.9,1.3,2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149,63.2,1617430,1223735,393695,29744,363951,39132,1578298,1306963,15192,9804,8057,85640,152794,39236,167988,70925,14216,61649,56032,59619,13584,104177,25134,163940,21106,138826,99044,271335,25562,27625,218148,64449,153699,23587.3,3853.1,5797,946.97,11504,1879.23
26,32.952,67.09,61.33,38.74,61.99,37.05,53.73,17.65,53.26,17.52,55.8,20.81,56.11,14.73,65.87,13.45,60.18,13.82,69.02,29.86,61.7,36.56,54.79,43.93,36.82,62.72,81.65,17.71,79.02,19.98,32.73,66.08,68.06,29.56,72.32,27.34,62.36,20.51,49.07,35.96,48.03,28.9,54.97,45.04,36.66,53.36,52.99,38.66,58.06,32.25,65.54,26.39,65.79,26.68,42.49,57.51,54.32,8.73,44336,45744,47746,3.2,4.4,276700378,275500454,278191917,284924112,-0.4,1,2.4,5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428,87.1,3821914,2993332,828582,87136,741446,95569,3726345,3253718,14910,7065,12206,199474,290839,134000,375971,150453,56130,207146,169509,232626,69659,206147,87685,462431,79231,284994,213242,472627,59184,35892,377551,104670,272881,14394.2,4828.6,2568,861.45,7799,2616.21
27,36.125,63.22,60.43,38.76,60.72,39.11,46.43,18.28,44.71,21.53,52.7,26.43,50.62,18.98,66.47,11.39,60.04,11.42,69.02,30.11,55.84,44,52.31,46.3,35.6,62.35,84.21,15.21,81.88,17.42,34.15,64.37,68.76,27.5,71.93,27.68,60.04,22.04,45.17,38.39,45.82,32.42,53.93,45.77,33.62,58.03,49.93,40.74,56.53,33.02,61.31,27.58,63.95,27.23,39.45,60.55,52.27,8.68,43721,45312,47538,3.6,4.9,44871442,44265422,45029245,46219700,-1.4,1.7,2.6,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,6.8,695247,501103,194144,22783,171361,29879,665368,569233,8491,10199,2936,50083,25553,19386,74774,21831,8339,28175,40350,41049,2723,27166,9620,78416,22264,60755,37123,96135,13368,7867,74900,26608,48292,5077.3,4786.9,965,909.81,2712,2556.89
28,32.633,67.27,59.9,40.14,59.97,39.48,50.93,18.15,50.19,18.59,51.16,22.54,53.78,16.31,64.1,13.33,57.92,13.33,68.1,30.6,59.58,39.29,54.66,44.61,39.1,60.55,82.24,17.14,79.36,20.31,32.63,66.18,68.31,29.68,70.84,28.85,60.34,22.63,46.01,38.1,45.22,30.79,54.04,45.87,34.71,56.97,50.64,40.92,55.48,34.38,62.21,29.99,62.52,29.97,39.96,60.04,51.73,9.07,49703,50663,53263,1.9,5.1,110325737,110812032,113110421,114169981,0.4,2.1,0.9,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,23.8,1342465,1052893,289572,38056,251516,54700,1287765,1112061,11895,2381,1231,78291,103680,43165,131638,68403,19940,87860,52753,67000,22739,67590,24391,146582,26933,85017,70572,175704,17013,12677,146014,34448,111566,34156,3290.1,8436,812.6,16182,1558.74
29,38.137,61.75,62.91,36.52,67.03,32.08,55.66,17.35,54.74,18.47,60.96,21.4,58.64,14.05,69.08,12.41,63.44,12.85,71.58,28.3,61.24,38.42,52.92,46.43,36.68,62.95,82.27,17.15,80.54,18.65,35.72,62.56,69.78,28.8,75.32,24.44,67.16,16.29,53.05,32.59,52.06,26.02,60,40.04,43.43,47.63,58.23,32.73,62.45,26.74,67.42,22.32,68.39,22.55,48,52,59.36,6.95,44967,46914,49176,4.3,4.8,135429189,139295513,143733369,149779867,2.9,3.2,4.2,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,24.6,1902080,1458453,443627,2938,440689,5064,1897016,1716835,2034,17940,4321,115771,65533,44575,181647,117258,22051,94337,110633,107541,34393,136808,19695,153917,61484,333499,93398,180181,19777,18932,141472,36818,104654,6138.3,8097.2,734,968.24,2702,3564.28
30,36.988,63,65.27,35.06,67.95,31.43,53.64,17.01,54.7,16.27,59.64,19.67,58.52,13.89,69.19,12.45,62.87,12.39,72.99,26.57,64.76,34.92,52.67,47.09,33.99,66.39,84.49,15.72,81.79,18.13,35.51,63.48,68.52,29.26,74.93,24.63,64.91,18.48,52.9,32.76,52.47,27.17,58.77,41.2,37.77,54.68,55.6,37.58,60.61,30.8,68.69,24.79,68.24,25.12,44.48,55.52,59.36,8,56480,58397,61294,3.4,5,71511135,72815608,74118843,75833174,1.8,1.8,2.3,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,147,904939,695650,209289,3851,205438,5171,899768,805303,3008,1108,2166,55626,76495,31294,111697,22128,15256,43396,42583,66474,10178,48397,32473,105068,25165,66207,46584,94465,7953,4560,81952,24787,57165,9214.6,4785.3,1587,824.16,4524,2349.39
31,36.515,63.42,72.86,26.75,75.52,23.84,59.44,14.75,60.6,15.43,67.29,15.73,63.4,10.42,74.07,10.22,68.52,10.2,77.26,21.77,66,32.76,48.01,51.7,28.72,70.92,84.8,14.37,83.63,14.96,30.48,68.01,72.5,23.39,80.61,18.91,71.36,12.34,58.47,29.95,58.31,22.84,66.02,33.92,45.13,46.38,62.15,28.99,68.42,21.87,73.26,17.32,74.47,16.73,51.61,48.39,66.26,5.51,62701,64924,68236,3.5,5.1,535299201,539942759,543530089,555755102,0.9,0.7,2.2,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,1195.5,5635957,4261715,1374242,8824,1365418,16960,5618997,5005433,6878,2824,15624,259038,267665,238333,536332,326272,87303,359262,356189,476879,97412,357721,139516,677914,133688,360024,306559,613564,48566,25097,539901,141741,398160,5837.2,4312.8,1923,1420.8,2319,1713.39
